Id,ENG Description,FRA Description,POR Description
CLM,Closing Ceremony,Cérémonie de clôture,Cerimônia de Encerramento
EVR,Event Reports,Rapports de l'épreuve,Relatórios de Eventos
MDL,Historical Medallists,Médaillés historiques,Medalhistas Históricos
OPC,Opening Ceremony,Cérémonie d'ouverture,Cerimônia de Abertura
ORP,Olympic Record progression,Progression record,Progresso de recordes olímpicos
OUI,Facts,Faits,Fatos
RES,Recent Results,Résultats récents,Resultados Recentes
TSR,Team Reports,Rapports d'équipe,Relatórios da equipe
