Id,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,IndoorOutdoor,Cluster
PFH,N,Official Paralympic Famil,Hôtel Officiel de la Fami,Hotel Oficial da Família,Official Paralympic Family Hotel - Windsor Barra I,Hôtel Officiel de la Famille Paralympique - Windso,Hotel Oficial da Família Paralímpica - Windsor Bar,,BAT
PMC,N,Pier Mauá Cruise Accommod,Hébergement des navires P,Acomodação de Navios do P,Pier Mauá Cruise Accommodations,Hébergement des navires Pier Maua,Acomodação de Navios do Pier Mauá,,MRZ
RCD,N,Rio Olympic Park Common D,Zone Commune du Parc Olym,Área Comum do Parque Olím,Rio Olympic Park Common Domain,Zone Commune du Parc Olympique de Barra,Área Comum do Parque Olímpico do Rio,,BAT
RHQ,N,Rio 2016 Office,Bureau Rio 2016,Escritório Rio 2016,Rio 2016 Office,Bureau Rio 2016,Escritório Rio 2016,,MRZ
RID,N,Riocentro Common Domain,Zone Commune de Riocentro,Área Comum do Riocentro,Riocentro Common Domain,Zone Commune de Riocentro,Área Comum do Riocentro,,BAT
SDU,N,Rio de Janeiro Domestic A,Aéroport Domestique de Ri,Aeroporto Doméstico do Ri,Rio de Janeiro Domestic Airport - Santos Dumont,Aéroport Domestique de Rio de Janeiro - Santos Dum,Aeroporto Doméstico do Rio de Janeiro - Santos Dum,,COP
SSA,N,Salvador International Ai,Aéroport international de,Aeroporto Internacional d,Salvador International Airport,Aéroport international de Salvador,Aeroporto Internacional de Salvador,,FBC
TOC,N,Technology Operations Cen,Centre d'Opérations de Te,Centro de Operações de Te,Technology Operations Centre,Centre d'Opérations de Technologie,Centro de Operações de Tecnologia,,MRZ
UAC,N,Uniform and Accreditation,Centre de Uniformes et Ac,Centro de Uniformes e Cre,Uniform and Accreditation Centre,Centre de Uniformes et Accréditation,Centro de Uniformes e Credenciamento,,MRZ
VCP,N,Viracopos International A,Aéroport international de,Aeroporto Internacional d,Viracopos International Airport,Aéroport international de Viracopos,Aeroporto Internacional de Viracopos,,FBC
XCD,N,X-Park Common Domain,Zone Commune de Parc Radi,Área Comum do Parque Radi,X-Park Common Domain,Zone Commune de Parc Radical,Área Comum do Parque Radical,,DEO
AB3,N,Army Barracks 3,Casernes Militaires,31º GAP,Army Barracks 3,Casernes Militaires,31º GAP,,DEO
AFC,N,Air Force Club,Club de l'aéronautique,Clube de Aeronáutica,Air Force Club,Club de l'aéronautique,Clube de Aeronáutica,,BAT
AFU,N,Air Force University (UNI,Université de la Force Aé,Universidade de Força Aér,Air Force University (UNIFA),Université de la Force Aérienne (UNIFA),Universidade da Força Aérea(UNIFA),,DEO
BAS,N,Barradão Stadium (Salvado,Stade Barradão (Salvador),Estádio Barradão (Salvado,Barradão Stadium (Salvador),Stade Barradão (Salvador),Estádio Barradão (Salvador),,FBC
BZS,N,Bezerrão Stadium (Brasíli,Stade Bezerrão (Brasília),Estádio Bezerrão (Brasíli,Bezerrão Stadium (Brasília),Stade Bezerrão (Brasília),Estádio Bezerrão (Brasília),,FBC
CIG,N,Gericinó Instruction Camp,Siège du Camp d'Entraînem,Sede do Campo de Instruçã,Gericinó Instruction Camp Headquarter,Siège du Camp d'Entraînement de Gericinó,Sede do Campo de Instrução de Gericinó,,DEO
CPA,N,Sport Club Pão de Açucar ,Pão de Açucar Sporte Club,CT Pão de Açucar Esporte ,Sport Club Pão de Açucar (São Paulo),Pão de Açucar Sporte Club (São Paulo),CT Pão de Açucar Esporte Clube- SP,,FBC
FPT,N,Fireman Physical Training,Centre de Formation Physi,Centro de Capacitação Fís,Fireman Physical Training Centre (Brasília),Centre de Formation Physique des Pompiers (Brasíli,Centro de Capacitação Física dos Bombeiros - BRA,,FBC
FUR,N,Federal University of Rio,Université Fédérale de Ri,Universidade Federal do R,Federal University of Rio de Janeiro,Université Fédérale de Rio de Janeiro,Universidade Federal do Rio de Janeiro (UFRJ),,MRZ
INS,N,Independência Stadium (Be,Stade Independência (Belo,Estádio Independência (Be,Independência Stadium (Belo Horizonte),Stade Independência (Belo Horizonte),Estádio Independência (Belo Horizonte),,FBC
MPT,N,Marapendi Park,Parc Marapendi,Parque Marapendi,Marapendi Park,Parc Marapendi,Parque Marapendi,,BAT
OVP,N,Athletes' Park,Parc des Athlètes,Parque dos Atletas,Athletes' Park,Parc des Athlètes,Parque dos Atletas,,BAT
PBS,N,Pacaembu Stadium (São Pau,Stade Pacaembu (São Paulo,Estádio Pacaembu - SP,Pacaembu Stadium (São Paulo),Stade Pacaembu (São Paulo),Estádio Pacaembu - SP,,FBC
PEC,N,Navy Physical Education C,Centre d'Éducation Physiq,Centro de Educação Física,Navy Physical Education Centre (CEFAN),Centre d'Éducation Physique Almirante Adalberto Un,Centro de Educação Física Almirante Adalberto Nune,,MRZ
PIS,N,Pituaçu Stadium (Salvador,Stade Pituaçu (Salvador),Estádio Pituaçu (Salvador,Pituaçu Stadium (Salvador),Stade Pituaçu (Salvador),Estádio Pituaçu (Salvador),,FBC
PLA,N,Palestra Arena (São Paulo,Palestra Arena (São Paulo,Arena Palestra - SP,Palestra Arena (São Paulo),Palestra Arena (São Paulo),Arena Palestra - SP,,FBC
RC5,N,Riocentro - Pavilion 5,Riocentro - Pavillon 5,Riocentro - Pavilhão 5,Riocentro - Pavilion 5,Riocentro - Pavillon 5,Riocentro - Pavilhão 5,,BAT
SJS,N,Serejão Stadium (Brasília,Stade Serejão (Brasília),Estádio do Serejão - Tagu,Serejão Stadium (Brasília),Stade Serejão (Brasília),Estádio do Serejão - Taguatinga (Boca do Jacaré) -,,FBC
SVN,N,SESC Venda Nova (Belo Hor,SESC Venda Nova (Belo Hor,SESC Venda Nova - BH,SESC Venda Nova (Belo Horizonte),SESC Venda Nova (Belo Horizonte),SESC Venda Nova - BH,,FBC
