Id,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription
CER,Ceremonies Facts,Faits des cérémonies,Fatos das Cerimônias,Ceremonies Facts,Faits des cérémonies,Fatos das Cerimônias
FCT,Facts,Faits,Fatos,Facts,Faits,Fatos
MDL,Past Medallists,Médaillés historiques,Medalhistas Históricos,Past Medallists,Médaillés historiques,Medalhistas Históricos
OLM,Olympic Movement Facts,Faits du Mouvement Olympique,Fatos do Movimento Olímpico,Olympic Movement Facts,Faits du Mouvement Olympique,Fatos do Movimento Olímpico
PRE,Past Results,Résultats historiques,Resultados Históricos,Past Results,Résultats historiques,Resultados Históricos
