Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,POR unit Description
AT,M,900,N,01,Men's Decathlon - Draw,"Décathlon - hommes, tirage au sort","Decatlo masculino, sorteio",Men's Decathlon - Draw,"Décathlon - hommes, tirage au sort","Decatlo masculino, sorteio",Draw,18,Y,0,NONE,N,Y,Draw,Tirage au sort,Sorteio
AT,W,000,0,00,Women,Femmes,Feminino,Women,Femmes,Feminino,Gender,10,N,0,NONE,N,N,"","",""
AT,W,001,0,00,Women's 100m,100 m - femmes,100m rasos feminino,Women's 100m,100 m - femmes,100m rasos feminino,Event,13,N,0,NONE,N,N,"","",""
AT,W,001,1,00,Women's 100m Final,"100 m - femmes, finale","100m rasos feminino, final",Women's 100m Final,"100 m - femmes, finale","100m rasos feminino, final",Phase,14,N,0,NONE,N,N,Final,Finale,Final
AT,W,001,1,01,Women's 100m Final,"100 m - femmes, finale","100m rasos feminino, final",Women's 100m Final,"100 m - femmes, finale","100m rasos feminino, final",EventUnit,15,Y,1,ATH,Y,Y,Final,Finale,Final
AT,W,001,2,00,Women's 100m Semifinals,"100 m - femmes, demi-finales","100m rasos feminino, semifinais",Women's 100m Semifinals,"100 m - femmes, demi-finales","100m rasos feminino, semifinais",Phase,14,Y,0,NONE,Y,N,Semifinals,Demi-finales,Semifinais
AT,W,001,2,01,Women's 100m Semifinal 1,"100 m - femmes, demi-finale 1","100m rasos feminino, semifinal 1",Women's 100m Semifinal 1,"100 m - femmes, demi-finale 1","100m rasos feminino, semifinal 1",EventUnit,15,Y,0,ATH,N,Y,Semifinal 1,Demi-finale 1,Semifinal 1
AT,W,001,2,02,Women's 100m Semifinal 2,"100 m - femmes, demi-finale 2","100m rasos feminino, semifinal 2",Women's 100m Semifinal 2,"100 m - femmes, demi-finale 2","100m rasos feminino, semifinal 2",EventUnit,15,Y,0,ATH,N,Y,Semifinal 2,Demi-finale 2,Semifinal 2
AT,W,001,2,03,Women's 100m Semifinal 3,"100 m - femmes, demi-finale 3","100m rasos feminino, semifinal 3",Women's 100m Semifinal 3,"100 m - femmes, demi-finale 3","100m rasos feminino, semifinal 3",EventUnit,15,Y,0,ATH,N,Y,Semifinal 3,Demi-finale 3,Semifinal 3
AT,W,001,9,00,Women's 100m Round 1,"100 m - femmes, 1er tour","100m rasos feminino, primeira fase",Women's 100m Round 1,"100 m - femmes, 1er tour","100m rasos feminino, primeira fase",Phase,14,Y,0,NONE,Y,N,Round 1,1er tour,Primeira fase 
AT,W,001,9,01,Women's 100m Round 1 - Heat 1,"100 m - femmes, 1er tour - 1re série","100m rasos feminino, 1a fase - série 1",Women's 100m Round 1 - Heat 1,"100 m - femmes, 1er tour - 1re série","100m rasos feminino, primeira fase - série 1",EventUnit,15,Y,0,ATH,N,Y,Round 1 - Heat 1,1er tour - 1re série,Primeira fase - série 1
AT,W,001,9,02,Women's 100m Round 1 - Heat 2,"100 m - femmes, 1er tour - 2e série","100m rasos feminino, 1a fase - série 2",Women's 100m Round 1 - Heat 2,"100 m - femmes, 1er tour - 2e série","100m rasos feminino, primeira fase - série 2",EventUnit,15,Y,0,ATH,N,Y,Round 1 - Heat 2,1er tour - 2e série,Primeira fase - série 2
AT,W,001,9,03,Women's 100m Round 1 - Heat 3,"100 m - femmes, 1er tour - 3e série","100m rasos feminino, 1a fase - série 3",Women's 100m Round 1 - Heat 3,"100 m - femmes, 1er tour - 3e série","100m rasos feminino, primeira fase - série 3",EventUnit,15,Y,0,ATH,N,Y,Round 1 - Heat 3,1er tour - 3e série,Primeira fase - série 3
AT,W,001,9,04,Women's 100m Round 1 - Heat 4,"100 m - femmes, 1er tour - 4e série","100m rasos feminino, 1a fase - série 4",Women's 100m Round 1 - Heat 4,"100 m - femmes, 1er tour - 4e série","100m rasos feminino, primeira fase - série 4",EventUnit,15,Y,0,ATH,N,Y,Round 1 - Heat 4,1er tour - 4e série,Primeira fase - série 4
AT,W,001,9,05,Women's 100m Round 1 - Heat 5,"100 m - femmes, 1er tour - 5e série","100m rasos feminino, 1a fase - série 5",Women's 100m Round 1 - Heat 5,"100 m - femmes, 1er tour - 5e série","100m rasos feminino, primeira fase - série 5",EventUnit,15,Y,0,ATH,N,Y,Round 1 - Heat 5,1er tour - 5e série,Primeira fase - série 5
AT,W,001,9,06,Women's 100m Round 1 - Heat 6,"100 m - femmes, 1er tour - 6e série","100m rasos feminino, 1a fase - série 6",Women's 100m Round 1 - Heat 6,"100 m - femmes, 1er tour - 6e série","100m rasos feminino, primeira fase - série 6",EventUnit,15,Y,0,ATH,N,Y,Round 1 - Heat 6,1er tour - 6e série,Primeira fase - série 6
