Discipline,Gender,Event,phase,Eventunit,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,FRA unit Description,POR unit Description
AF,0,CUL,0,00,General,Général,Geral,General,Général,Geral,N/A,,N,0,NONE,N,N,"","",""
AQ,0,000,0,00,Aquatics Sport,Natation,Desportos Aquáticos,Aquatics Sport,Natation,Desportos Aquáticos,Sport,1,N,0,NONE,N,N,"","",""
AR,0,000,0,00,Archery,Tir à l'arc,Tiro com arco,Archery,Tir à l'arc,Tiro com arco,Discipline,2,N,0,NONE,N,N,"","",""
AR,0,000,N,01,Archery - Draw,"Tir à l'arc, tirage au sort","Tiro com arco, sorteio",Archery - Draw,"Tir à l'arc, tirage au sort","Tiro com arco, sorteio",Draw,18,Y,0,NONE,N,Y,"","",""
AR,0,000,Q,01,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião chefes de equipe,Archery Team Captains Meeting,Tir à l'arc - réunion des chefs d'équipe,Tiro com arco - reunião dos chefes de equipe,Meetings,19,Y,0,NONE,N,Y,"","",""
AR,0,000,Y,00,Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária",Archery Daily Schedule,"Tir à l'arc, calendrier par jour","Tiro com arco, programação diária",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,01,Archery Day 1,"Tir à l'arc, jour 1","Tiro com arco, dia 1",Archery Day 1,"Tir à l'arc, jour 1","Tiro com arco, dia 1",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,02,Archery Day 2,"Tir à l'arc, jour 2","Tiro com arco, dia 2",Archery Day 2,"Tir à l'arc, jour 2","Tiro com arco, dia 2",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,03,Archery Day 3,"Tir à l'arc, jour 3","Tiro com arco, dia 3",Archery Day 3,"Tir à l'arc, jour 3","Tiro com arco, dia 3",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,04,Archery Day 4,"Tir à l'arc, jour 4","Tiro com arco, dia 4",Archery Day 4,"Tir à l'arc, jour 4","Tiro com arco, dia 4",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,05,Archery Day 5,"Tir à l'arc, jour 5","Tiro com arco, dia 5",Archery Day 5,"Tir à l'arc, jour 5","Tiro com arco, dia 5",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,06,Archery Day 6,"Tir à l'arc, jour 6","Tiro com arco, dia 6",Archery Day 6,"Tir à l'arc, jour 6","Tiro com arco, dia 6",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,07,Archery Day 7,"Tir à l'arc, jour 7","Tiro com arco, dia 7",Archery Day 7,"Tir à l'arc, jour 7","Tiro com arco, dia 7",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,08,Archery Day 8,"Tir à l'arc, jour 8","Tiro com arco, dia 8",Archery Day 8,"Tir à l'arc, jour 8","Tiro com arco, dia 8",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,09,Archery Day 9,"Tir à l'arc, jour 9","Tiro com arco, dia 9",Archery Day 9,"Tir à l'arc, jour 9","Tiro com arco, dia 9",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,10,Archery Day 10,"Tir à l'arc, jour 10","Tiro com arco, dia 10",Archery Day 10,"Tir à l'arc, jour 10","Tiro com arco, dia 10",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,11,Archery Day 11,"Tir à l'arc, jour 11","Tiro com arco, dia 11",Archery Day 11,"Tir à l'arc, jour 11","Tiro com arco, dia 11",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,12,Archery Day 12,"Tir à l'arc, jour 12","Tiro com arco, dia 12",Archery Day 12,"Tir à l'arc, jour 12","Tiro com arco, dia 12",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,13,Archery Day 13,"Tir à l'arc, jour 13","Tiro com arco, dia 13",Archery Day 13,"Tir à l'arc, jour 13","Tiro com arco, dia 13",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,14,Archery Day 14,"Tir à l'arc, jour 14","Tiro com arco, dia 14",Archery Day 14,"Tir à l'arc, jour 14","Tiro com arco, dia 14",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,15,Archery Day 15,"Tir à l'arc, jour 15","Tiro com arco, dia 15",Archery Day 15,"Tir à l'arc, jour 15","Tiro com arco, dia 15",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,16,Archery Day 16,"Tir à l'arc, jour 16","Tiro com arco, dia 16",Archery Day 16,"Tir à l'arc, jour 16","Tiro com arco, dia 16",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,17,Archery Day 17,"Tir à l'arc, jour 17","Tiro com arco, dia 17",Archery Day 17,"Tir à l'arc, jour 17","Tiro com arco, dia 17",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,18,Archery Day 18,"Tir à l'arc, jour 18","Tiro com arco, dia 18",Archery Day 18,"Tir à l'arc, jour 18","Tiro com arco, dia 18",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,19,Archery Day 19,"Tir à l'arc, jour 19","Tiro com arco, dia 19",Archery Day 19,"Tir à l'arc, jour 19","Tiro com arco, dia 19",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,20,Archery Day 20,"Tir à l'arc, jour 20","Tiro com arco, dia 20",Archery Day 20,"Tir à l'arc, jour 20","Tiro com arco, dia 20",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,21,Archery Day 21,"Tir à l'arc, jour 21","Tiro com arco, dia 21",Archery Day 21,"Tir à l'arc, jour 21","Tiro com arco, dia 21",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,22,Archery Day 22,"Tir à l'arc, jour 22","Tiro com arco, dia 22",Archery Day 22,"Tir à l'arc, jour 22","Tiro com arco, dia 22",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,23,Archery Day 23,"Tir à l'arc, jour 23","Tiro com arco, dia 23",Archery Day 23,"Tir à l'arc, jour 23","Tiro com arco, dia 23",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,24,Archery Day 24,"Tir à l'arc, jour 24","Tiro com arco, dia 24",Archery Day 24,"Tir à l'arc, jour 24","Tiro com arco, dia 24",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,25,Archery Day 25,"Tir à l'arc, jour 25","Tiro com arco, dia 25",Archery Day 25,"Tir à l'arc, jour 25","Tiro com arco, dia 25",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,26,Archery Day 26,"Tir à l'arc, jour 26","Tiro com arco, dia 26",Archery Day 26,"Tir à l'arc, jour 26","Tiro com arco, dia 26",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,27,Archery Day 27,"Tir à l'arc, jour 27","Tiro com arco, dia 27",Archery Day 27,"Tir à l'arc, jour 27","Tiro com arco, dia 27",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,28,Archery Day 28,"Tir à l'arc, jour 28","Tiro com arco, dia 28",Archery Day 28,"Tir à l'arc, jour 28","Tiro com arco, dia 28",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,29,Archery Day 29,"Tir à l'arc, jour 29","Tiro com arco, dia 29",Archery Day 29,"Tir à l'arc, jour 29","Tiro com arco, dia 29",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,30,Archery Day 30,"Tir à l'arc, jour 30","Tiro com arco, dia 30",Archery Day 30,"Tir à l'arc, jour 30","Tiro com arco, dia 30",Day,4,N,0,NONE,N,N,"","",""
AR,0,000,Y,31,Archery Day 31,"Tir à l'arc, jour 31","Tiro com arco, dia 31",Archery Day 31,"Tir à l'arc, jour 31","Tiro com arco, dia 31",Day,4,N,0,NONE,N,N,"","",""
AR,0,070,Z,00,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,StyleSession,9,N,0,NONE,N,N,"","",""
AR,0,070,Z,01,Session 1,Session 1,Sessão 1,Session 1,Session 1,Sessão 1,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,02,Session 2,Session 2,Sessão 2,Session 2,Session 2,Sessão 2,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,03,Session 3,Session 3,Sessão 3,Session 3,Session 3,Sessão 3,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,04,Session 4,Session 4,Sessão 4,Session 4,Session 4,Sessão 4,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,05,Session 5,Session 5,Sessão 5,Session 5,Session 5,Sessão 5,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,06,Session 6,Session 6,Sessão 6,Session 6,Session 6,Sessão 6,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,07,Session 7,Session 7,Sessão 7,Session 7,Session 7,Sessão 7,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,08,Session 8,Session 8,Sessão 8,Session 8,Session 8,Sessão 8,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,09,Session 9,Session 9,Sessão 9,Session 9,Session 9,Sessão 9,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,10,Session 10,Session 10,Sessão 10,Session 10,Session 10,Sessão 10,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,11,Session 11,Session 11,Sessão 11,Session 11,Session 11,Sessão 11,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,12,Session 12,Session 12,Sessão 12,Session 12,Session 12,Sessão 12,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,13,Session 13,Session 13,Sessão 13,Session 13,Session 13,Sessão 13,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,14,Session 14,Session 14,Sessão 14,Session 14,Session 14,Sessão 14,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,15,Session 15,Session 15,Sessão 15,Session 15,Session 15,Sessão 15,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,16,Session 16,Session 16,Sessão 16,Session 16,Session 16,Sessão 16,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,17,Session 17,Session 17,Sessão 17,Session 17,Session 17,Sessão 17,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,18,Session 18,Session 18,Sessão 18,Session 18,Session 18,Sessão 18,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,19,Session 19,Session 19,Sessão 19,Session 19,Session 19,Sessão 19,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,20,Session 20,Session 20,Sessão 20,Session 20,Session 20,Sessão 20,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,21,Session 21,Session 21,Sessão 21,Session 21,Session 21,Sessão 21,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,22,Session 22,Session 22,Sessão 22,Session 22,Session 22,Sessão 22,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,23,Session 23,Session 23,Sessão 23,Session 23,Session 23,Sessão 23,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,24,Session 24,Session 24,Sessão 24,Session 24,Session 24,Sessão 24,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,25,Session 25,Session 25,Sessão 25,Session 25,Session 25,Sessão 25,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,26,Session 26,Session 26,Sessão 26,Session 26,Session 26,Sessão 26,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,27,Session 27,Session 27,Sessão 27,Session 27,Session 27,Sessão 27,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,28,Session 28,Session 28,Sessão 28,Session 28,Session 28,Sessão 28,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,29,Session 29,Session 29,Sessão 29,Session 29,Session 29,Sessão 29,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,30,Session 30,Session 30,Sessão 30,Session 30,Session 30,Sessão 30,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,31,Session 31,Session 31,Sessão 31,Session 31,Session 31,Sessão 31,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,32,Session 32,Session 32,Sessão 32,Session 32,Session 32,Sessão 32,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,33,Session 33,Session 33,Sessão 33,Session 33,Session 33,Sessão 33,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,34,Session 34,Session 34,Sessão 34,Session 34,Session 34,Sessão 34,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,35,Session 35,Session 35,Sessão 35,Session 35,Session 35,Sessão 35,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,36,Session 36,Session 36,Sessão 36,Session 36,Session 36,Sessão 36,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,37,Session 37,Session 37,Sessão 37,Session 37,Session 37,Sessão 37,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,38,Session 38,Session 38,Sessão 38,Session 38,Session 38,Sessão 38,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,39,Session 39,Session 39,Sessão 39,Session 39,Session 39,Sessão 39,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,40,Session 40,Session 40,Sessão 40,Session 40,Session 40,Sessão 40,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,41,Session 41,Session 41,Sessão 41,Session 41,Session 41,Sessão 41,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,42,Session 42,Session 42,Sessão 42,Session 42,Session 42,Sessão 42,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,43,Session 43,Session 43,Sessão 43,Session 43,Session 43,Sessão 43,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,44,Session 44,Session 44,Sessão 44,Session 44,Session 44,Sessão 44,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,45,Session 45,Session 45,Sessão 45,Session 45,Session 45,Sessão 45,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,46,Session 46,Session 46,Sessão 46,Session 46,Session 46,Sessão 46,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,47,Session 47,Session 47,Sessão 47,Session 47,Session 47,Sessão 47,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,48,Session 48,Session 48,Sessão 48,Session 48,Session 48,Sessão 48,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,49,Session 49,Session 49,Sessão 49,Session 49,Session 49,Sessão 49,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,070,Z,50,Session 50,Session 50,Sessão 50,Session 50,Session 50,Sessão 50,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,00,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,Archery - Session,Tir à l'arc - session,Tiro com arco - sessão,StyleSession,9,N,0,NONE,N,N,"","",""
AR,0,470,Z,01,Session 51,Session 51,Sessão 51,Session 51,Session 51,Sessão 51,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,02,Session 52,Session 52,Sessão 52,Session 52,Session 52,Sessão 52,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,03,Session 53,Session 53,Sessão 53,Session 53,Session 53,Sessão 53,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,04,Session 54,Session 54,Sessão 54,Session 54,Session 54,Sessão 54,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,05,Session 55,Session 55,Sessão 55,Session 55,Session 55,Sessão 55,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,06,Session 56,Session 56,Sessão 56,Session 56,Session 56,Sessão 56,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,07,Session 57,Session 57,Sessão 57,Session 57,Session 57,Sessão 57,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,08,Session 58,Session 58,Sessão 58,Session 58,Session 58,Sessão 58,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,09,Session 59,Session 59,Sessão 59,Session 59,Session 59,Sessão 59,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,10,Session 60,Session 60,Sessão 60,Session 60,Session 60,Sessão 60,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,11,Session 61,Session 61,Sessão 61,Session 61,Session 61,Sessão 61,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,12,Session 62,Session 62,Sessão 62,Session 62,Session 62,Sessão 62,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,13,Session 63,Session 63,Sessão 63,Session 63,Session 63,Sessão 63,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,14,Session 64,Session 64,Sessão 64,Session 64,Session 64,Sessão 64,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,15,Session 65,Session 65,Sessão 65,Session 65,Session 65,Sessão 65,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,16,Session 66,Session 66,Sessão 66,Session 66,Session 66,Sessão 66,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,17,Session 67,Session 67,Sessão 67,Session 67,Session 67,Sessão 67,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,18,Session 68,Session 68,Sessão 68,Session 68,Session 68,Sessão 68,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,19,Session 69,Session 69,Sessão 69,Session 69,Session 69,Sessão 69,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,20,Session 70,Session 70,Sessão 70,Session 70,Session 70,Sessão 70,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,21,Session 71,Session 71,Sessão 71,Session 71,Session 71,Sessão 71,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,22,Session 72,Session 72,Sessão 72,Session 72,Session 72,Sessão 72,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,23,Session 73,Session 73,Sessão 73,Session 73,Session 73,Sessão 73,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,24,Session 74,Session 74,Sessão 74,Session 74,Session 74,Sessão 74,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,25,Session 75,Session 75,Sessão 75,Session 75,Session 75,Sessão 75,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,26,Session 76,Session 76,Sessão 76,Session 76,Session 76,Sessão 76,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,27,Session 77,Session 77,Sessão 77,Session 77,Session 77,Sessão 77,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,28,Session 78,Session 78,Sessão 78,Session 78,Session 78,Sessão 78,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,29,Session 79,Session 79,Sessão 79,Session 79,Session 79,Sessão 79,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,30,Session 80,Session 80,Sessão 80,Session 80,Session 80,Sessão 80,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,31,Session 81,Session 81,Sessão 81,Session 81,Session 81,Sessão 81,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,32,Session 82,Session 82,Sessão 82,Session 82,Session 82,Sessão 82,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,33,Session 83,Session 83,Sessão 83,Session 83,Session 83,Sessão 83,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,34,Session 84,Session 84,Sessão 84,Session 84,Session 84,Sessão 84,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,35,Session 85,Session 85,Sessão 85,Session 85,Session 85,Sessão 85,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,36,Session 86,Session 86,Sessão 86,Session 86,Session 86,Sessão 86,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,37,Session 87,Session 87,Sessão 87,Session 87,Session 87,Sessão 87,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,38,Session 88,Session 88,Sessão 88,Session 88,Session 88,Sessão 88,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,39,Session 89,Session 89,Sessão 89,Session 89,Session 89,Sessão 89,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,40,Session 90,Session 90,Sessão 90,Session 90,Session 90,Sessão 90,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,41,Session 91,Session 91,Sessão 91,Session 91,Session 91,Sessão 91,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,42,Session 92,Session 92,Sessão 92,Session 92,Session 92,Sessão 92,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,43,Session 93,Session 93,Sessão 93,Session 93,Session 93,Sessão 93,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,44,Session 94,Session 94,Sessão 94,Session 94,Session 94,Sessão 94,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,45,Session 95,Session 95,Sessão 95,Session 95,Session 95,Sessão 95,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,46,Session 96,Session 96,Sessão 96,Session 96,Session 96,Sessão 96,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,47,Session 97,Session 97,Sessão 97,Session 97,Session 97,Sessão 97,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,48,Session 98,Session 98,Sessão 98,Session 98,Session 98,Sessão 98,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,49,Session 99,Session 99,Sessão 99,Session 99,Session 99,Sessão 99,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,470,Z,50,Session 100,Session 100,Sessão 100,Session 100,Session 100,Sessão 100,StyleSession,9,Y,0,NONE,Y,N,"","",""
AR,0,SBD,0,00,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Sambódromo,Venue,3,N,0,NONE,N,N,"","",""
AR,M,000,0,00,Men,Hommes,Masculino,Men,Hommes,Masculino,Gender,10,N,0,NONE,N,N,"","",""
AR,M,070,0,00,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,Men's Individual,Épreuve individuelle - hommes,Competição individual masculina,Event,13,N,0,NONE,N,N,"","",""
AR,M,070,1,00,Men's Individual Finals,"Individuelle - hom., finales","Competição individual masculina, finais",Men's Individual Finals,"Épreuve individuelle - hommes, finales","Competição individual masculina, finais",Phase,14,N,0,NONE,N,N,Finals,Finales,Finais
AR,M,070,1,01,Men's Individual Gold Medal Match,"Individuelle - hom., match or","Competição ind masc, disputa pelo ouro",Men's Individual Gold Medal Match,"Épreuve individuelle - hommes, match pour la médaille d'or","Competição individual masculina, disputa pela medalha de ouro",EventUnit,15,Y,1,HATH,N,Y,Gold Medal Match,Match pour la médaille d'or,Disputa pela medalha de ouro
AR,M,070,1,02,Men's Individual Bronze Medal Match,"Individuelle - hom., match bronze","Competição ind masc, disputa pelo bronze",Men's Individual Bronze Medal Match,"Épreuve individuelle - hommes, match pour la médaille de bronze","Competição individual masculina, disputa pela medalha de bronze",EventUnit,15,Y,2,HATH,N,Y,Bronze Medal Match,Match pour la médaille de bronze,Disputa pela medalha de bronze
AR,M,070,2,00,Men's Individual Semifinals,"Individuelle - hom., demi-finales","Competição individual masculina, 1/2",Men's Individual Semifinals,"Épreuve individuelle - hommes, demi-finales","Competição individual masculina, semifinais",Phase,14,N,0,NONE,N,N,Semifinals,Demi-finales,Semifinais
AR,M,070,2,01,Men's Individual Semifinal,"Individuelle - hom., demi-finale","Competição individual masculina, 1/2",Men's Individual Semifinal,"Épreuve individuelle - hommes, demi-finale","Competição individual masculina, semifinal",EventUnit,15,Y,0,HATH,N,Y,Semifinal,Demi-finale,Semifinal
AR,M,070,2,02,Men's Individual Semifinal,"Individuelle - hom., demi-finale","Competição individual masculina, 1/2",Men's Individual Semifinal,"Épreuve individuelle - hommes, demi-finale","Competição individual masculina, semifinal",EventUnit,15,Y,0,HATH,N,Y,Semifinal,Demi-finale,Semifinal
AR,M,070,3,00,Men's Individual Quarterfinals,"Individuelle - hom., quarts de finale","Competição individual masculina, 1/4",Men's Individual Quarterfinals,"Épreuve individuelle - hommes, quarts de finale","Competição individual masculina, quartas de final",Phase,14,N,0,NONE,N,N,Quarterfinals,Quarts de finale,Quartas de Final
AR,M,070,3,01,Men's Individual Quarterfinal,"Individuelle - hom., quart de finale","Competição individual masculina, 1/4",Men's Individual Quarterfinal,"Épreuve individuelle - hommes, quart de finale","Competição individual masculina, quartas de final",EventUnit,15,Y,0,HATH,N,Y,Quarterfinal,Quart de finale,Quartas de Final
AR,M,070,3,02,Men's Individual Quarterfinal,"Individuelle - hom., quart de finale","Competição individual masculina, 1/4",Men's Individual Quarterfinal,"Épreuve individuelle - hommes, quart de finale","Competição individual masculina, quartas de final",EventUnit,15,Y,0,HATH,N,Y,Quarterfinal,Quart de finale,Quartas de Final
AR,M,070,3,03,Men's Individual Quarterfinal,"Individuelle - hom., quart de finale","Competição individual masculina, 1/4",Men's Individual Quarterfinal,"Épreuve individuelle - hommes, quart de finale","Competição individual masculina, quartas de final",EventUnit,15,Y,0,HATH,N,Y,Quarterfinal,Quart de finale,Quartas de Final
AR,M,070,3,04,Men's Individual Quarterfinal,"Individuelle - hom., quart de finale","Competição individual masculina, 1/4",Men's Individual Quarterfinal,"Épreuve individuelle - hommes, quart de finale","Competição individual masculina, quartas de final",EventUnit,15,Y,0,HATH,N,Y,Quarterfinal,Quart de finale,Quartas de Final
AR,M,070,4,00,Men's Individual 1/8 Eliminations,"Individuelle - hom., élim. (1/8)","Competição individual masculina, 1/8",Men's Individual 1/8 Eliminations,"Épreuve individuelle - hommes, éliminatoires (8e de finale)","Competição individual masculina, oitavas de final",Phase,14,N,0,NONE,N,N,1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de Final
AR,M,070,4,01,Men's Individual 1/8 Eliminations,"Individuelle - hom., élim. (1/8)","Competição individual masculina, 1/8",Men's Individual 1/8 Eliminations,"Épreuve individuelle - hommes, éliminatoires (8e de finale)","Competição individual masculina, oitavas de final",EventUnit,15,Y,0,HATH,N,Y,1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de Final
AR,M,070,4,02,Men's Individual 1/8 Eliminations,"Individuelle - hom., élim. (1/8)","Competição individual masculina, 1/8",Men's Individual 1/8 Eliminations,"Épreuve individuelle - hommes, éliminatoires (8e de finale)","Competição individual masculina, oitavas de final",EventUnit,15,Y,0,HATH,N,Y,1/8 Eliminations,Éliminatoires (8e de finale),Oitavas de Final
