Id,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription
CEN,Ceremonies News,,,Ceremonies News,,
FL,Flag Bearers,,,Flag Bearers,,
FQ,Flash Quotes,,,Flash Quotes,,
MCH,Press Conference Highlights,,,Press Conference Highlights,,
OPC,Open and Closing Ceremonies,,,Open and Closing Ceremonies,,
PRE,Medals Presenters,,,Medals Presenters,,
TAN,Transport Announcements,,,Transport Announcements,,
