Id,competition,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,IndoorOutdoor,Cluster,City
GMW,N,Gangneung Media Workroom,S. tra. médias Gangneung,강릉 미디어 워크룸,Gangneung Media Workroom,Salle de travail des médias de Gangneung,강릉 미디어 워크룸,,GNG,Gangneung 
GNS,N,Gangneung Station,Gare de Gangneung,강릉역,Gangneung Station,Gare de Gangneung,강릉역,,GNG,Gangneung 
GOP,N,Gangneung Olympic Park,Parc olym. Gangneung,강릉 올림픽 파크,Gangneung Olympic Park,Parc olympique de Gangneung,강릉 올림픽 파크,,GNG,Gangneung 
GOV,Y,Gangneung Oval,Ovale de Gangneung,강릉 스피드 스케이팅 경기장,Gangneung Oval,Ovale de Gangneung,강릉 스피드 스케이팅 경기장,I,GNG,Gangneung 
GST,N,Gangneung Stadium,Stade de Gangneung,강릉 스타디움,Gangneung Stadium,Stade de Gangneung,강릉 스타디움,,GNG,Gangneung 
GVL,N,Gangneung Olympic Village,Vil. olym. Gangneung,강릉 올림픽 선수촌,Gangneung Olympic Village,Village olympique de Gangneung,강릉 올림픽 선수촌,,GNG,Gangneung 
HQ1,N,POCOG Headquarters,Siège du COJOP,평창조직위 본부,PyeongChang 2018 Main Office,Bureau principal de PyeongChang 2018,평창조직위 본부,,PYE,PyeongChang
HQ2,N,POCOG Seoul Office,Bureau du COJOP à Séoul,평창조직위 서울사무소,PyeongChang 2018 Secondary Office,Bureau secondaire de PyeongChang 2018,평창조직위 서울사무소,,SEO,Seoul
HQ3,N,POCOG Coastal Office,Bureau COJOP - littoral,평창조직위 강릉사무소,PyeongChang 2018 Office in Gangneung,Bureau de PyeongChang 2018 à Gangneung,평창조직위 강릉사무소,,GNG,Gangneung 
HQ4,N,POCOG Ski Jumping Office,Bureau saut à ski - COJOP,평창조직위 스키점프사무소,PyeongChang 2018 Office in Ski Jumping Venue,Bureau de saut à ski du COJOP,평창조직위 스키점프사무소,,PYE,PyeongChang
HQ5,N,POCOG KAL Office,Bureau de KAL du COJOP,평창조직위 대한항공사무소,PyeongChang 2018 Office in Korean Air Headquarters,Bureau de Korean Air de PyeongChang 2018,평창조직위 대한항공사무소,,SEO,Seoul
IBC,N,Internat Broadcast Ctr ,Ctr Intl. Radio et TV,국제 방송 센터,International Broadcast Centre ,Centre international de radio et de télévision,국제 방송 센터,,PYE,PyeongChang
ICN,N,Incheon Int’l Airport,Aéroport intl. Incheon,인천국제공항,Incheon International Airport,Aéroport international d'Incheon,인천국제공항,,SEO,Seoul
ISM,N,Security Monitoring Ctr,Ctr surv. sécu. intégrée,보안관제센터,Integrated Security Monitoring Centre,Centre de surveillance de la sécurité intégrée,보안관제센터,,,
ITH,N,IBC Transport Hub,Pôle transport du CIRTV,IBC 수송허브,IBC Transport Hub,Pôle transport du CIRTV,IBC 수송허브,,PYE,PyeongChang
JAL,Y,Jeongseon Alpine Centre,Centre alpin de Jeongseon,정선 알파인 경기장,Jeongseon Alpine Centre,Centre alpin de Jeongseon,정선 알파인 경기장,O,PYE,PyeongChang
JBS,N,Jinbu Station,Gare de Jinbu,진부역,Jinbu Station,Gare de Jinbu,진부역,,PYE,PyeongChang
KHC,Y,Kwandong Hockey Centre,Ctr hockey Kwandong,관동 하키 센터,Kwandong Hockey Centre,Centre de hockey de Kwandong,관동 하키 센터,I,GNG,Gangneung 
KHT,N,Kwandong Hockey Training,Entr. hockey Kwandong,관동 하키 연습경기장,Kwandong Hockey Training Venue,Centre d'entraînement de hockey de Kwandong,관동 하키 연습경기장,,GNG,Gangneung 
KST,N,Korea Science & Tec Inst.,Inst. coréen sc. et tec.,한국과학기술연구원,Korea Institute of Science and Technology (KIST),Institut coréen des sciences et de la technologie,한국과학기술연구원,,SEO,Seoul
MAC,N,Mountain Accred Ctr,Ctr accré. Montagne,마운틴 클러스터 유니폼배부 및 메인 등록센터,Mountain Accreditation Centre,Centre d'accréditation du Pôle de montagne,마운틴 클러스터 유니폼배부 및 메인 등록센터,,PYE,PyeongChang
MDC,N,Main Distribution Centre,Ctr pcpl. distribution,물류분배센터,Main Distribution Centre,Centre principal de distribution,물류분배센터,,PYE,PyeongChang
MOC,N,Main Operations Centre,Ctr principal opérations,대회종합상황실,Main Operations Centre,Centre principal d'exploitation,대회종합상황실,,PYE,PyeongChang
MPC,N,Main Press Centre,Ctr principal presse,메인 프레스 센터,Main Press Centre,Centre principal de presse,메인 프레스 센터,,PYE,PyeongChang
MST,N,Main Superstore,Boutique principale,메인 슈퍼스토어,Main Superstore,Boutique principale,메인 슈퍼스토어,,PYE,PyeongChang
MTH,N,Media Transport Hub,Pôle trans. Vill. Médias,미디어촌 수송허브,Media Transport Hub,Pôle de transport du village des médias,미디어촌 수송허브,,GNG,Gangneung 
MTO,N,Main Ticketing Outlet,Billetterie principale,메인 입장권판매점,Main Ticketing Outlet,Billetterie principale,메인 입장권판매점,,PYE,PyeongChang
OF2,N,Holiday Inn Resort,Hôtel Holiday Inn Resort,홀리데이인 리조트 호텔,Holiday Inn Hotel and Resort,Hôtel Holiday Inn & Resort,홀리데이인 리조트 호텔,,PYE,PyeongChang
OF3,N,Dragon Valley Hotel,Hôtel Dragon Valley,드래곤밸리 호텔,Dragon Valley Hotel,Hôtel Dragon Valley,드래곤밸리 호텔,,PYE,PyeongChang
OF4,N,Kensington Flora Hotel,Hôtel Kensington Flora,켄싱턴 플로라 호텔,Kensington Flora Hotel,Hôtel Kensington Flora,켄싱턴 플로라 호텔,,PYE,PyeongChang
OF5,N,Gangneung Lakai Sandpine,Gangneung Lakai Sandpine,강릉 라카이샌드파인 리조트,Gangneung Lakai Sandpine Resort,Gangneung Lakai Sandpine,강릉 라카이샌드파인 리조트,,GNG,Gangneung 
OFH,N,InterContinental Hotel,Hôtel Intercontinental ,인터컨티넨탈 호텔,InterContinental Hotel,Hôtel Intercontinental ,인터컨티넨탈 호텔,,PYE,PyeongChang
OHC,N,Olympic Hospitality Club,Club d'hospitalité olym.,알펜시아 트룬 골프&컨트리 클럽하우스,Olympic Hospitality Club,Club de l'hospitalité olympique,알펜시아 트룬 골프&컨트리 클럽하우스,,PYE,PyeongChang
PDC,N,Primary Data Centre,Cntr principal de données,주 데이터센터,Primary Data Centre,Centre principal de données,주 데이터센터,,,
POP,N,PyeongChang Olympic Plaza,Espla. olym. PyeongChang,평창 올림픽 플라자,PyeongChang Olympic Plaza,Esplanade olympique de PyeongChang,평창 올림픽 플라자,,PYE,PyeongChang
POS,N,PyeongChang Olympic Stad.,Stad. olym. PyeongChang,평창 올림픽 스타디움,PyeongChang Olympic Stadium,Stade olympique de PyeongChang,평창 올림픽 스타디움,,PYE,PyeongChang
PVL,N,Pyeongchang Olympic Vill.,Vill. olym. PyeongChang,평창 올림픽 선수촌,Pyeongchang Olympic Village,Village olympique de PyeongChang,평창 올림픽 선수촌,,PYE,PyeongChang
SDC,N,Secondary Data Centre,Cntr secondaire données,보조 데이터센터,Secondary Data Centre,Centre secondaire de données,보조 데이터센터,,SEO,Seoul
SEV,N,Severance Hospital,Hôpital Severance ,세브란스병원,Severance Hospital,Hôpital Severance ,세브란스병원,,SEO,Seoul
STO,N,Seoul Ticketing Outlet,Billetterie de Séoul,서울 입장권판매점,Seoul Ticketing Outlet,Billetterie de Séoul,서울 입장권판매점,,SEO,Seoul
STT,N,Gangeung Yeongdong U. Gym,Cntr Gangneung Yeongdong,강릉영동 쇼트트랙 연습경기장,Gangneung Yeongdong Short Track Training Venue,Cntr entraînement short-track Gangneung Yeongdong,강릉영동 쇼트트랙 연습경기장,,GNG,Gangneung 
SUS,N,Seoul Station,Gare de Séoul,서울역,Seoul Station,Gare de Séoul,서울역,,SEO,Seoul
THG,N,Gangneung Transport Hub,Pôle transport Gangneung,강릉 수송허브,Gangneung Transport Hub,Pôle de transport de Gangneung,강릉 수송허브,,GNG,Gangneung 
THJ,N,Jinbu Transport hub,Pôle transport Jinbu,진부 수송허브,Jinbu Transport hub,Pôle de transport de Jinbu,진부 수송허브,,PYE,PyeongChang
TOC,N,Tech Operations Centre,Ctr exploitation techno.,기술운영센터,Main Technology Operations Centre,Centre d’exploitation technologique,기술운영센터,,GNG,Gangneung 
TSD,N,Technology Service Desk,Bureau services techno.,정보통신 서비스데스크,Technology Service Desk,Bureau des services technologiques,정보통신 서비스데스크,,GNG,Gangneung 
WSC,N,Wonju Severance Hospital,Hôpital Severance Wonju,원주세브란스기독병원,Wonju Severance Christian Hospital,Hôpital Severance de Wonju,원주세브란스기독병원,,PYE,PyeongChang
YAL,Y,Yongpyong Alpine Centre,Centre alpin de Yongpyong,용평 알파인 경기장,Yongpyong Alpine Centre,Centre alpin de Yongpyong,용평 알파인 경기장,O,PYE,PyeongChang
YNY,N,YangYang Int’l Airport,Aéroport intl. Yangyang,양양국제공항,YangYang International Airport,Aéroport international de Yangyang,양양국제공항,,GNG,Gangneung 
