Id,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
CER,Ceremonies Facts,Cérémonies,세레모니 현황,Ceremonies Facts,Faits sur les cérémonies,세레모니 현황
FCT,Facts,Faits,현황,Facts,Faits,현황
MDL,Past Medallists,Médaillés historiques,역대 메달리스트,Past Medallists,Médaillés historiques,역대 메달리스트
OLM,Olympic Movement Facts,Mouvement olympique,올림픽 무브먼트,Olympic Movement Facts,Faits sur le Mouvement olympique,올림픽 무브먼트
PRE,Past Results,Résultats précédents,역대 기록,Past Results,Résultats précédents,역대 기록
