Id,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
DON,DongHae,Donghae,동해,DongHae,Donghae,동해
GIM,GimPo,Gimpo,김포,GimPo,Gimpo,김포
GNG,Gangneung ,Gangneung ,강릉,Gangneung ,Gangneung ,강릉
INC,InCheon,Incheon,인천,InCheon,Incheon,인천
JEO,Jeongseon,Jeongseon,정선,Jeongseon,Jeongseon,정선
PYE,PyeongChang,PyeongChang,평창,PyeongChang,PyeongChang,평창
SEO,Seoul,Séoul,서울,Seoul,Séoul,서울
WON,WonJu,Wonju,원주,WonJu,Wonju,원주
YAN,YangYang,Yangyang,양양,YangYang,Yangyang,양양
