Id,ENG Description,FRA Description,KOR Description
AFR,Africa,Afrique,아프리카
AME,Americas,Amérique,아메리카
ASI,Asia,Asie,아시아
EUR,Europe,Europe,유럽
OCE,Oceania,Océanie,오세아니아
