Id,Venue,LocationOrder,competition,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,Source,Sub-Locations
CUD,GCC,4,Y,Gangneung Curling - Sheet D,Centre de curling - Piste D,강릉 컬링 센터 - 시트 D,Gangneung Curling Centre - Sheet D,Centre de curling de Gangneung - Piste D,강릉 컬링 센터 - 시트 D,GCCCUR1,
GCC,GCC,,Y,Gangneung Curling Centre,Ctr curling de Gangneung,강릉 컬링 센터,Gangneung Curling Centre,Centre de curling de Gangneung,강릉 컬링 센터,GCCCUR1,
TBD,GCC,5,Y,Gangneung Curling - Sheet TBD,Ctr cur. Gangneung-Piste à dét,강릉 컬링 센터 - 시트 TBD,Gangneung Curling Centre - Sheet TBD,Centre de curling de Gangneung-Piste à déterminer,강릉 컬링 센터 - 시트 TBD,GCCCUR1,
GHC,GHC,,Y,Gangneung Hockey Centre,Centre de hockey de Gangneung ,강릉 하키 센터,Gangneung Hockey Centre,Centre de hockey de Gangneung ,강릉 하키 센터,GHCIHO1,
GHT,GHT,,N,Gangneung Hockey Training,Entraînement hockey-Gangneung,강릉 하키 연습경기장,Gangneung Hockey Training Centre,Centre d'entraînement de hockey de Gangneung,강릉 하키 연습경기장,,
GIA,GIA,,Y,Gangneung Ice Arena,Palais des glaces de Gangneung,강릉 아이스 아레나,Gangneung Ice Arena,Palais des glaces de Gangneung ,강릉 아이스 아레나,GIAFSK1/GIASTK1,
GMP,GMP,,N,Gimpo Int'l Airport,Aéroport intl. Gimpo,김포국제공항,Gimpo International Airport,Aéroport international de Gimpo,김포국제공항,,
GMV,GMV,,N,Gangneung Media Village,Village médias de Gangneung,강릉 미디어촌,Gangneung Media Village,Village des médias de Gangneung,강릉 미디어촌,,
GMW,GMW,,N,Gangneung Media Workroom,S. travail médias de Gangneung,강릉 미디어 워크룸,Gangneung Media Workroom,Salle de travail des médias de Gangneung,강릉 미디어 워크룸,,
GNS,GNS,,N,Gangneung Station,Gare de Gangneung,강릉역,Gangneung Station,Gare de Gangneung,강릉역,,
GOP,GOP,,N,Gangneung Olympic Park,Parc olympique de Gangneung,강릉 올림픽 파크,Gangneung Olympic Park,Parc olympique de Gangneung,강릉 올림픽 파크,,
GOV,GOV,,Y,Gangneung Oval,Ovale de Gangneung,강릉 스피드 스케이팅 경기장,Gangneung Oval,Ovale de Gangneung,강릉 스피드 스케이팅 경기장,GOVSSK1,
GST,GST,,N,Gangneung Stadium,Stade de Gangneung,강릉 스타디움,Gangneung Stadium,Stade de Gangneung,강릉 스타디움,,
GVL,GVL,,N,Gangneung Olympic Village,Village olympique - Gangneung,강릉 올림픽 선수촌,Gangneung Olympic Village,Village olympique de Gangneung,강릉 올림픽 선수촌,,
HQ1,HQ1,,N,POCOG Headquarters,Siège du COJOP,평창조직위 본부,PyeongChang 2018 Main Office,Bureau principal de PyeongChang 2018,평창조직위 본부,,
