Id,ENG Description,FRA Description,KOR Description
AFT,Afternoon,Après-midi,오후
ALL,All Day,Toute la journée,종일
EAF,Early Afternoon,Début d'après-midi,이른 오후
EVE,Evening,Soirée,저녁
LAF,Late Afternoon,Fin d'après-midi,늦은 오후
MOR,Morning,Matin,오전
