Id,ENG Description,FRA Description,KOR Description
BS,Bobsleigh,Bobsleigh,봅슬레이
BT,Biathlon,Biathlon,바이애슬론
CU,Curling,Curling,컬링
IH,Ice Hockey,Hockey sur glace,아이스하키
LG,Luge,Luge,루지
NE,Nordic Events,Épreuves nordiques,노르딕 이벤트
SI,Skiing,Ski,스키
SK,Skating,Patinage,스케이팅
XX,More than one Sport,Multisport,멀티스포츠
