Discipline,Gender,Event,phase,type,order,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription,ENG phase Description,FRA phase Description,KOR phase Description,Old DDGEEEP
CCS,W,SKIATHLN----------,VICT,6,V,Ladies' Skiathlon Victory Ceremony,"Skiathlon 7,5+7,5 f., cérémonie",여자 스키애슬론 빅토리 세레모니,Ladies' 7.5km + 7.5km Skiathlon Victory Ceremony,"Skiathlon 7,5 km+7,5 km femmes, cérémonie de remise des médailles",여자 7.5km + 7.5km 스키애슬론 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,CCW815M
CCS,W,SKIATHLN----------,----,8,,Ladies' 7.5km + 7.5km Skiathlon,"Skiathlon 7,5 km+7,5 km femmes",여자 7.5km + 7.5km 스키애슬론,Ladies' 7.5km + 7.5km Skiathlon,"Skiathlon 7,5 km+7,5 km femmes",여자 7.5km + 7.5km 스키애슬론,,,,CCW8150
CCS,W,SPRINT------------,FNL-,3,1,Ladies' Sprint Classic Final,"Sprint femmes classique, finale",여자 스프린트 클래식 결승,Ladies' Sprint Classic Final,"Sprint femmes classique, finale",여자 스프린트 클래식 결승,Final,Finale,결승,CCW6011
CCS,W,SPRINT------------,SFNL,3,2,Ladies' Sprint Classic Semifinals,"Sprint femmes classique, demi-finales",여자 스프린트 클래식 준결승,Ladies' Sprint Classic Semifinals,"Sprint femmes classique, demi-finales",여자 스프린트 클래식 준결승,Semifinals,Demi-finales,준결승,CCW6012
CCS,W,SPRINT------------,QFNL,3,3,Ladies' Sprint Classic Quarterfinals,"Sprint femmes c., quarts de finale",여자 스프린트 클래식 준준결승,Ladies' Sprint Classic Quarterfinals,"Sprint femmes classique, quarts de finale",여자 스프린트 클래식 준준결승,Quarterfinals,Quarts de finale,준준결승,CCW6013
CCS,W,SPRINT------------,QUAL,3,8,Ladies' Sprint Classic Qualification,"Sprint femmes classique, qualifications",여자 스프린트 클래식 예선,Ladies' Sprint Classic Qualification,"Sprint femmes classique, qualifications",여자 스프린트 클래식 예선,Qualification,Qualifications,예선,CCW6019
CCS,W,SPRINT------------,DRAW,7,D,Ladies' Sprint Classic Draw,"Sprint femmes classique, tirage au sort",여자 스프린트 클래식 추첨,Ladies' Sprint Classic Draw,"Sprint femmes classique, tirage au sort",여자 스프린트 클래식 추첨,Draw,Tirage au sort,추첨,CCW601E
CCS,W,SPRINT------------,MEET,9,M,"Ladies' Sprint Classic, TCM","Sprint femmes c., réun. chefs d'éq",여자 스프린트 클래식 대표자회의,"Ladies' Sprint Classic , Team Captain Meeting","Sprint femmes classique, réunion des chefs d'équipes",여자 스프린트 클래식 대표자회의,Team Captain Meeting,Réunion des chefs d'équipes,대표자회의,CCW601T
CCS,W,SPRINT------------,VICT,6,V,Ladies' Sprint Classic Victory Ceremony,"Sprint femmes classique, cérémonie",여자 스프린트 클래식 빅토리 세레모니,Ladies' Sprint Classic Victory Ceremony,"Sprint femmes classique, cérémonie de remise des médailles",여자 스프린트 클래식 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,CCW601M
CCS,W,SPRINT------------,----,8,,Ladies' Sprint Classic,Sprint femmes classique,여자 스프린트 클래식,Ladies' Sprint Classic,Sprint femmes classique,여자 스프린트 클래식,,,,CCW6010
CCS,W,TEAMSP2-----------,FNL-,3,1,Ladies' Team Sprint Free Final,"Sprint libre par équipes femmes, finale",여자 팀 스프린트 프리 결승,Ladies' Team Sprint Free Final,"Sprint libre par équipes femmes, finale",여자 팀 스프린트 프리 결승,Final,Finale,결승,CCW4611
CCS,W,TEAMSP2-----------,SFNL,3,2,Ladies' Team Sprint Free Semifinals,"Sprint libre par éq f., demi-finales",여자 팀 스프린트 프리 준결승,Ladies' Team Sprint Free Semifinals,"Sprint libre par équipes femmes, demi-finales",여자 팀 스프린트 프리 준결승,Semifinals,Demi-finales,준결승,CCW4612
CCS,W,TEAMSP2-----------,MEET,9,M,"Ladies' Team Sprint Free, TCM","Sprint libre par éq f., réun. chefs d'éq",여자 팀 스프린트 프리 대표자회의,"Ladies' Team Sprint Free, Team Captain Meeting","Sprint libre par équipes femmes, réunion des chefs d'équipes",여자 팀 스프린트 프리 대표자회의,Team Captain Meeting,Réunion des chefs d'équipes,준준결승,CCW461T
CCS,W,TEAMSP2-----------,VICT,6,V,Ladies' Team Sprint Free Vict. Ceremony,"Sprint libre par équipes fem., cérémonie",여자 팀 스프린트 프리 빅토리 세레모니,Ladies' Team Sprint Free Victory Ceremony,"Sprint libre par équipes femmes, cérémonie de remise des médailles",여자 팀 스프린트 프리 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,CCW461M
CCS,W,TEAMSP2-----------,----,8,,Ladies' Team Sprint Free,Sprint libre par équipes femmes,여자 팀 스프린트 프리,Ladies' Team Sprint Free,Sprint libre par équipes femmes,여자 팀 스프린트 프리,,,,CCW4610
CER,-,CLOSING-----------,----,0,,Closing Ceremony,Cérémonie de clôture,폐막식,Closing Ceremony,Cérémonie de clôture,폐막식,,,,CE0CLO0
CER,-,OPENING-----------,----,0,,Opening Ceremony,Cérémonie d'ouverture,개막실,Opening Ceremony,Cérémonie d'ouverture,개막실,,,,CE0OPN0
CUR,-,------------------,MEET,9,M,"Curling, Team Meeting","Curling, réunion d'équipes",컬링 대표자회의,"Curling, Team Meeting","Curling, réunion d'équipes",컬링 대표자회의,Team Meeting,Réunion d'équipes,팀회의,CU0000T
CUR,-,------------------,----,8,,Curling,Curling,컬링,Curling,Curling,컬링,,,,CU00000
CUR,M,------------------,----,8,,Men's Curling,Curling hommes,컬링 남자,Men's Curling,Curling hommes,컬링 남자,,,,CUM0000
CUR,M,TEAM4-------------,FNL-,3,1,Men's Finals,Finale hommes,남자 결승,Men's Finals,Finale hommes,남자 결승,Finals,Finale,결승,CUM4001
CUR,M,TEAM4-------------,SFNL,3,2,Men's Semi-finals,Demi-finales hommes,남자 준결승,Men's Semi-finals,Demi-finales hommes,남자 준결승,Semi-finals,Demi-finales,준결승,CUM4002
CUR,M,TEAM4-------------,TB--,3,5,Men's Tie-breaker,Jeu décisif hommes,남자 타이 브레이커,Men's Tie-breaker,Jeu décisif hommes,남자 타이 브레이커,,,,CUM4009
CUR,M,TEAM4-------------,TBIF,3,5,Men's Tie-breaker (if needed),Jeu décisif hommes (si nécessaire),만자 타이 브레이커 (필요시),Men's Tie-breaker (if needed),Jeu décisif hommes (si nécessaire),만자 타이 브레이커 (필요시),,,,
CUR,M,TEAM4-------------,PREL,3,8,Men's Round Robin,Phase préliminaire hommes,남자 예선,Men's Round Robin,Phase préliminaire hommes,남자 예선,Round Robin,Phase préliminaire,예선,CUM4009
CUR,M,TEAM4-------------,PAGE,3,8,Men's Page Play-offs,Play-offs hommes,남자 플레이 오프,Men's Page Play-offs,Play-offs hommes,남자 플레이 오프,Page Play-offs,Play-offs,플레이 오프,
CUR,M,TEAM4-------------,VICT,6,V,Men's Victory Ceremony,"Hommes, cérémonie",남자 빅토리 세레모니,Men's Victory Ceremony,"Hommes, cérémonie de remise des médailles",남자 빅토리 세레모니,Victory Ceremony,Cérémonie de remise des médailles,빅토리 세레모니,CUM400M
CUR,M,TEAM4-------------,----,8,,Men,Hommes,남자경기,Men,Hommes,남자경기,,,,CUM4000
CUR,W,------------------,----,8,,Women's Curling,Curling femmes,컬링 여자,Women's Curling,Curling femmes,컬링 여자,,,,CUW0000
CUR,W,TEAM4-------------,FNL-,3,1,Women's Finals,Finale femmes,여자 결승,Women's Finals,Finale femmes,여자 결승,Finals,Finale,결승,CUW4001
CUR,W,TEAM4-------------,SFNL,3,2,Women's Semi-finals,Demi-finales femmes,여자 준결승,Women's Semi-finals,Demi-finales femmes,여자 준결승,Semi-finals,Demi-finales,준결승,CUW4002
