Id,ENG Description,FRA Description,POR Description
AFR,Africa,Afrique,África
AME,Americas,Amérique,Américas
ASI,Asia,Asie,Ásia
EUR,Europe,Europe,Europa
OCE,Oceania,Océanie,Oceania
