Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description
TT,M,009,4,08,Y,0,Men's Singles - Class 9 First Round,"Individual masc - classe 9, 1/8 final",Men's Singles - Class 9 First Round,"Individual masculino - classe 9, oitavas de final",EventUnit,15,HATH,N,Y,First Round,Oitavas de final
TT,M,009,9,00,N,0,Men's Singles - Class 9 Preliminaries,"Individual masc-classe 9, fase de grupos",Men's Singles - Class 9 Preliminaries,"Individual masculino - classe 9, fase de grupos",Phase,14,NONE,N,N,Preliminaries,Fase de grupos
TT,M,009,A,01,Y,0,Men's Singles - Class 9 Group A,"Individual masc - classe 9, grupo A",Men's Singles - Class 9 Group A,"Individual masculino - classe 9, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,009,A,02,Y,0,Men's Singles - Class 9 Group A,"Individual masc - classe 9, grupo A",Men's Singles - Class 9 Group A,"Individual masculino - classe 9, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,009,A,03,Y,0,Men's Singles - Class 9 Group A,"Individual masc - classe 9, grupo A",Men's Singles - Class 9 Group A,"Individual masculino - classe 9, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,009,A,04,Y,0,Men's Singles - Class 9 Group A,"Individual masc - classe 9, grupo A",Men's Singles - Class 9 Group A,"Individual masculino - classe 9, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,009,A,05,Y,0,Men's Singles - Class 9 Group A,"Individual masc - classe 9, grupo A",Men's Singles - Class 9 Group A,"Individual masculino - classe 9, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,009,A,06,Y,0,Men's Singles - Class 9 Group A,"Individual masc - classe 9, grupo A",Men's Singles - Class 9 Group A,"Individual masculino - classe 9, grupo A",EventUnit,15,HATH,N,Y,Group A,Grupo A
TT,M,009,B,01,Y,0,Men's Singles - Class 9 Group B,"Individual masc - classe 9, grupo B",Men's Singles - Class 9 Group B,"Individual masculino - classe 9, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,009,B,02,Y,0,Men's Singles - Class 9 Group B,"Individual masc - classe 9, grupo B",Men's Singles - Class 9 Group B,"Individual masculino - classe 9, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,009,B,03,Y,0,Men's Singles - Class 9 Group B,"Individual masc - classe 9, grupo B",Men's Singles - Class 9 Group B,"Individual masculino - classe 9, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,009,B,04,Y,0,Men's Singles - Class 9 Group B,"Individual masc - classe 9, grupo B",Men's Singles - Class 9 Group B,"Individual masculino - classe 9, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
TT,M,009,B,05,Y,0,Men's Singles - Class 9 Group B,"Individual masc - classe 9, grupo B",Men's Singles - Class 9 Group B,"Individual masculino - classe 9, grupo B",EventUnit,15,HATH,N,Y,Group B,Grupo B
