Discipline,Gender,Event,phase,Eventunit,schedule,medalflag,ENG Description,POR Description,ENG longdescription,POR longdescription,Level,Order,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,POR unit Description
TT,M,007,E,03,Y,0,Men's Singles - Class 7 Group E,"Individual masc - classe 7, grupo E",Men's Singles - Class 7 Group E,"Individual masculino - classe 7, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,007,E,04,Y,0,Men's Singles - Class 7 Group E,"Individual masc - classe 7, grupo E",Men's Singles - Class 7 Group E,"Individual masculino - classe 7, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,007,E,05,Y,0,Men's Singles - Class 7 Group E,"Individual masc - classe 7, grupo E",Men's Singles - Class 7 Group E,"Individual masculino - classe 7, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,007,E,06,Y,0,Men's Singles - Class 7 Group E,"Individual masc - classe 7, grupo E",Men's Singles - Class 7 Group E,"Individual masculino - classe 7, grupo E",EventUnit,15,HATH,N,Y,Group E,Grupo E
TT,M,007,F,01,Y,0,Men's Singles - Class 7 Group F,"Individual masc - classe 7, grupo F",Men's Singles - Class 7 Group F,"Individual masculino - classe 7, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,007,F,02,Y,0,Men's Singles - Class 7 Group F,"Individual masc - classe 7, grupo F",Men's Singles - Class 7 Group F,"Individual masculino - classe 7, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,007,F,03,Y,0,Men's Singles - Class 7 Group F,"Individual masc - classe 7, grupo F",Men's Singles - Class 7 Group F,"Individual masculino - classe 7, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,007,F,04,Y,0,Men's Singles - Class 7 Group F,"Individual masc - classe 7, grupo F",Men's Singles - Class 7 Group F,"Individual masculino - classe 7, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,007,F,05,Y,0,Men's Singles - Class 7 Group F,"Individual masc - classe 7, grupo F",Men's Singles - Class 7 Group F,"Individual masculino - classe 7, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,007,F,06,Y,0,Men's Singles - Class 7 Group F,"Individual masc - classe 7, grupo F",Men's Singles - Class 7 Group F,"Individual masculino - classe 7, grupo F",EventUnit,15,HATH,N,Y,Group F,Grupo F
TT,M,007,M,00,Y,0,Men's Singles - Class 7 VC,"Individual masc-classe 7, cer. premiação",Men's Singles - Class 7 Victory Ceremony,"Individual masculino - classe 7, cerimônia de premiação",Medals,17,NONE,N,Y,Victory Ceremony,Cerimônia de premiação
TT,M,008,0,00,N,0,Men's Singles - Class 8,Individual masculino - classe 8,Men's Singles - Class 8,Individual masculino - classe 8,Event,13,NONE,N,N,"",""
TT,M,008,1,00,N,0,Men's Singles - Class 8 Finals,"Individual masculino - classe 8, finais",Men's Singles - Class 8 Finals,"Individual masculino - classe 8, finais",Phase,14,NONE,N,N,Finals,Finais
