Id,ENG Description,POR Description,ENG longdescription,POR longdescription
CER,Ceremonies Facts,,Ceremonies Facts,
FCT,Facts,Fatos,Facts,Fatos
MDL,Past Medallists,Medalhistas Históricos,Past Medallists,Medalhistas Históricos
PRE,Past Results,,Past Results,
