Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Source,Sub-Locations
BVA,BVA,,Y,Beach Volleyball Arena,Arène de Volleyball de Plage,Arena de Vôlei de Praia,Beach Volleyball Arena,Arène de Volleyball de Plage,Arena de Vôlei de Praia,BVABV1,
BX1,RC6,1,Y,Riocentro - Pavilion 6,Riocentro - Pavillion 6,Riocentro - Pavilhão 6,Riocentro - Pavilion 6,Riocentro - Pavillion 6,Riocentro - Pavilhão 6,RC6BX1,
CA1,CA1,,Y,Carioca Arena 1,Aréna Carioca 1,Arena Carioca 1,Carioca Arena 1,Aréna Carioca 1,Arena Carioca 1,CA1BK1,
CA2,CA2,,Y,Carioca Arena 2,Aréna Carioca 2,Arena Carioca 2,Carioca Arena 2,Aréna Carioca 2,Arena Carioca 2,,
CA3,CA3,,Y,Carioca Arena 3,Aréna Carioca 3,Arena Carioca 3,Carioca Arena 3,Aréna Carioca 3,Arena Carioca 3,,
CB1,BMX,1,Y,Olympic BMX Centre,Centre Olympique de BMX,Centro Olímpico de BMX,Olympic BMX Centre,Centre Olympique de BMX,Centro Olímpico de BMX,BMXCB1,
CF1,LAG,1,Y,Lagoa Stadium - Canoe Sprint,Stade de Lagoa - CS,Estádio da Lagoa - CS,Lagoa Stadium - Canoe Sprint,"Stade de Lagoa - Canoë-kayak, course en ligne",Estádio da Lagoa - Canoagem Velocidade,LAGCF1,
CM1,MBT,1,Y,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,Mountain Bike Centre,Centre de Mountain Bike,Centro de Mountain Bike,MBTCM1,
CR1,FTC,1,Y,Fort Copacabana - Cycling Road,Fort de Copacabana - CR,Forte de Copacabana - CR,Fort Copacabana - Cycling Road,Fort de Copacabana - Cyclisme sur route,Forte de Copacabana - Ciclismo de Estrada,FTCCR1,
CR2,PON,2,Y,Pontal - Cycling Road,Pontal - Cyclisme sur route,Pontal - Ciclismo de Estrada,Pontal - Cycling Road,Pontal - Cyclisme sur route,Pontal - Ciclismo de Estrada,PONCR1,
CS1,WWS,1,Y,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,WWSCS1,
CT1,ROV,1,Y,Rio Olympic Velodrome,Vélodrome Olympique de Rio,Velódromo Olímpico do Rio,Rio Olympic Velodrome,Vélodrome Olympique de Rio,Velódromo Olímpico do Rio,ROVCT1,
DAQ,DAQ,,Y,Deodoro Aquatics Centre,Centre Aquatique de Deodoro,Centro Aquático de Deodoro,Deodoro Aquatics Centre,Centre Aquatique de Deodoro,Centro Aquático de Deodoro,DAQMP1,
DES,DES,,Y,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,Deodoro Stadium,Stade de Deodoro,Estádio de Deodoro,,
DV1,AQC,1,Y,Maria Lenk Aquatics - Diving,Centre Aquatique Maria Lenk,Centro Aquático Maria Lenk,Maria Lenk Aquatics Centre - Diving Pool,Centre Aquatique Maria Lenk,Centro Aquático Maria Lenk - Piscina de Saltos,AQCDV1,
EQ1,EQC,1,Y,Olympic Equestrian - Dressage,Olympique Équitation -Dressage,Ctr Olímpico de Hipismo -Ades.,Olympic Equestrian Centre - Dressage Arena,Centre Olympique d´Équitation - Dressage,Centro Olímpico de Hipismo - Arena de Adestramento,EQCEQ1,
EQ2,EQC,2,Y,Olympic Equestrian - XC Course,Olympique d´Équitation - CC,Ctr Olímpico de Hipismo - CCE,Olympic Equestrian Centre - Cross Country Course,Centre Olympique d´Équitation - Cross country,Centro Olímpico de Hipismo - CCE,EQCEQ1,
EQ3,EQC,3,Y,Olympic Equestrian - Jumping,Olympique d´Équitation - Saut,Ctr Olímpico de Hipismo-Saltos,Olympic Equestrian Centre - Jumping Arena,Centre Olympique d´Équitation - Saut,Centro Olímpico de Hipismo - Arena de Saltos,EQCEQ1,
EQC,EQC,,Y,Olympic Equestrian Centre,Centre Olympique d´Équitation,Centro Olímpico de Hipismo,Olympic Equestrian Centre,Centre Olympique d´Équitation,Centro Olímpico de Hipismo,EQCEQ1,
FB1,MRC,1,Y,Maracanã - FB,Maracanã - FB,Maracanã - FB,Maracanã - Football,Maracanã - Football,Maracanã - Futebol,MRCFB1,
FB2,MGA,2,Y,Mané Garrincha Stadium - FB,Stade Mané Garrincha - FB,Estádio Mané Garrincha - FB,Mané Garrincha Stadium - Football,Stade Mané Garrincha - Football,Estádio Mané Garrincha - Futebol,MGAFB1,
FB3,MIN,3,Y,Mineirão - FB,Mineirão - FB,Mineirão - FB,Mineirão - Football,Mineirão - Football,Mineirão - Futebol,MINFB1,
