Id,Venue,LocationOrder,competition,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription,Source,Sub-Locations
T00,OTN,1,Y,Olympic Tennis Centre-Ctr Crt,Ctr Olympique de Tennis - Ctr,Ctr. Olímpico de Tênis-Qdr Ctr,Olympic Tennis Centre - Centre Court,Centre Olympique de Tennis - Court central,Centro Olímpico de Tênis - Quadra Central,OTNTE1,
T01,OTN,2,Y,Olympic Tennis Centre - Crt 1,Ctr Olympique de Tennis - Crt1,Centro Olímpico de Tênis-Qdr 1,Olympic Tennis Centre - Court 1,Centre Olympique de Tennis - Court nº1,Centro Olímpico de Tênis - Quadra 1,OTNTE1,
T02,OTN,3,Y,Olympic Tennis Centre - Crt 2,Ctr Olympique de Tennis - Crt2,Centro Olímpico de Tênis-Qdr 2,Olympic Tennis Centre - Court 2,Centre Olympique de Tennis - Court nº2,Centro Olímpico de Tênis - Quadra 2,OTNTE1,
T03,OTN,4,Y,Olympic Tennis Centre - Crt 3,Ctr Olympique de Tennis - Crt3,Centro Olímpico de Tênis-Qdr 3,Olympic Tennis Centre - Court 3,Centre Olympique de Tennis - Court nº3,Centro Olímpico de Tênis - Quadra 3,OTNTE1,
T04,OTN,5,Y,Olympic Tennis Centre - Crt 4,Ctr Olympique de Tennis - Crt4,Centro Olímpico de Tênis-Qdr 4,Olympic Tennis Centre - Court 4,Centre Olympique de Tennis - Court nº4,Centro Olímpico de Tênis - Quadra 4,OTNTE1,
T05,OTN,6,Y,Olympic Tennis Centre - Crt 5,Ctr Olympique de Tennis - Crt5,Centro Olímpico de Tênis-Qdr 5,Olympic Tennis Centre - Court 5,Centre Olympique de Tennis - Court nº5,Centro Olímpico de Tênis - Quadra 5,OTNTE1,
T06,OTN,7,Y,Olympic Tennis Centre - Crt 6,Ctr Olympique de Tennis - Crt6,Centro Olímpico de Tênis-Qdr 6,Olympic Tennis Centre - Court 6,Centre Olympique de Tennis - Court nº6,Centro Olímpico de Tênis - Quadra 6,OTNTE1,
T07,OTN,8,Y,Olympic Tennis Centre - Crt 7,Ctr Olympique de Tennis - Crt7,Centro Olímpico de Tênis-Qdr 7,Olympic Tennis Centre - Court 7,Centre Olympique de Tennis - Court nº7,Centro Olímpico de Tênis - Quadra 7,OTNTE1,
T08,OTN,9,Y,Olympic Tennis Centre - Crt 8,Ctr Olympique de Tennis - Crt8,Centro Olímpico de Tênis-Qdr 8,Olympic Tennis Centre - Court 8,Centre Olympique de Tennis - Court nº8,Centro Olímpico de Tênis - Quadra 8,OTNTE1,
T09,OTN,10,Y,Olympic Tennis Centre - Crt 9,Ctr Olympique de Tennis - Crt9,Centro Olímpico de Tênis-Qdr 9,Olympic Tennis Centre - Court 9,Centre Olympique de Tennis - Court nº9,Centro Olímpico de Tênis - Quadra 9,OTNTE1,
TK1,CA3,1,Y,Carioca Arena 3 - Taekwondo,Aréna Carioca 3 - Taekwondo,Arena Carioca 3 - Taekwondo,Carioca Arena 3 - Taekwondo,Aréna Carioca 3 - Taekwondo,Arena Carioca 3 - Taekwondo,CA3TK1,
TR1,FTC,1,Y,Fort Copacabana - Triathlon,Fort de Copacabana - Triathlon,Forte de Copacabana - Triatlo,Fort Copacabana - Triathlon,Fort de Copacabana - Triathlon,Forte de Copacabana - Triatlo,FTCTR1,
TT1,RC3,1,Y,Riocentro - Pavilion 3-TT Tbl1,Riocentro - Pavillion 3-TT T1,Riocentro - Pavilhão 3 - TT M1,Riocentro - Pavilion 3 - Table Tennis - Table 1,Riocentro - Pavillion 3 - Tennis de table-Table 1,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 1,RC3TT1,
TT2,RC3,2,Y,Riocentro - Pavilion 3-TT Tbl2,Riocentro - Pavillion 3-TT T2,Riocentro - Pavilhão 3 - TT M2,Riocentro - Pavilion 3 - Table Tennis - Table 2,Riocentro - Pavillion 3 - Tennis de table-Table 2,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 2,RC3TT1,
TT3,RC3,3,Y,Riocentro - Pavilion 3-TT Tbl3,Riocentro - Pavillion 3-TT T3,Riocentro - Pavilhão 3 - TT M3,Riocentro - Pavilion 3 - Table Tennis - Table 3,Riocentro - Pavillion 3 - Tennis de table-Table 3,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 3,RC3TT1,
TT4,RC3,4,Y,Riocentro - Pavilion 3-TT Tbl4,Riocentro - Pavillion 3-TT T4,Riocentro - Pavilhão 3 - TT M4,Riocentro - Pavilion 3 - Table Tennis - Table 4,Riocentro - Pavillion 3 - Tennis de table-Table 4,Riocentro - Pavilhão 3 - Tênis de Mesa - Mesa 4,RC3TT1,
VO1,MNZ,1,Y,Maracanãzinho - Volleyball,Maracanãzinho - Volleyball,Maracanãzinho - Voleibol,Maracanãzinho - Volleyball,Maracanãzinho - Volleyball,Maracanãzinho - Voleibol,MNZVO1,
WL1,RC2,1,Y,Riocentro - Pavilion 2 - WL,Riocentro - Pavillion 2 - WL,Riocentro - Pavilhão 2 - WL,Riocentro - Pavilion 2 - Weightlifting,Riocentro - Pavillion 2 - Haltérophilie,Riocentro - Pavilhão 2 - Levantamento de Peso,RC2WL1,
WP1,OAS,1,Y,Olympic Aquatics Stadium - WP,Stade Aquatique Olympique - WP,Estádio Aquático Olímpico - WP,Olympic Aquatics Stadium - Water Polo,Stade Aquatique Olympique - Water-polo,Estádio Aquático Olímpico - Pólo Aquático,OASWP1,
WP2,AQC,2,Y,Maria Lenk Aquatics - WP,Ctr Aquatique Maria Lenk - WP,Ctr Aquático Maria Lenk - WP,Maria Lenk Aquatics Centre - Water Polo,Centre Aquatique Maria Lenk - Water-polo,Centro Aquático Maria Lenk - Pólo Aquático,AQCWP1,
WRA,CA2,1,Y,Carioca Arena 2 - WR Mat A,Aréna Carioca 2 - WR Tapis A,Arena Carioca 2 - WR Tatame A,Carioca Arena 2 - Wrestling Mat A,Aréna Carioca 2 - Lutte Tapis A,Arena Carioca 2 - Luta Olímpica Tatame A,CA2WR1,
WRB,CA2,2,Y,Carioca Arena 2 - WR Mat B,Aréna Carioca 2 - WR Tapis B,Arena Carioca 2 - WR Tatame B,Carioca Arena 2 - Wrestling Mat B,Aréna Carioca 2 - Lutte Tapis B,Arena Carioca 2 - Luta Olímpica Tatame B,CA2WR1,
WRC,CA2,3,Y,Carioca Arena 2 - WR Mat C,Aréna Carioca 2 - WR Tapis C,Arena Carioca 2 - WR Tatame C,Carioca Arena 2 - Wrestling Mat C,Aréna Carioca 2 - Lutte Tapis C,Arena Carioca 2 - Luta Olímpica Tatame C,CA2WR1,
WWS,WWS,,Y,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,Whitewater Stadium,Stade de Canoë Slalom,Estádio de Canoagem Slalom,WWSCS1,
YOA,YOA,,Y,Youth Arena,Arène de la Jeunesse,Arena da Juventude,Youth Arena,Arène de la Jeunesse,Arena da Juventude,,
