Id,ENG Description,FRA Description,POR Description,ENG longdescription,FRA longdescription,POR longdescription
CER,Ceremonies Facts,,,Ceremonies Facts,,
FCT,Facts,Faits,Fatos,Facts,Faits,Fatos
MDL,Past Medallists,Médaillés historiques,Medalhistas Históricos,Past Medallists,Médaillés historiques,Medalhistas Históricos
OLM,Olympic Movement Facts,,,Olympic Movement Facts,,
PRE,Past Results,,,Past Results,,
