Id,ENG Description,FRA Description,POR Description
AFT,Afternoon,Après-midi,Tarde
ALL,All Day,Toute la journée,Dia inteiro
EAF,Early Afternoon,Début d'après-midi,Início da tarde
EVE,Evening,Soirée,Noite
LAF,Late Afternoon,Fin d'après-midi,Final da tarde
MOR,Morning,Matin,Manhã
