Discipline,Gender,Event,phase,Eventunit,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,KOR unit Description,Old unit
ALP,M,AC------03030-----,----,--------,"Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애","Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애",Event,,N,0,NONE,N,N,,,ASM360000
ALP,M,AC------03030-----,DRAW,--------,"Men's Super Combined, Vis Imp, Draw","남자 슈퍼복합, 시각 장애, 추첨","Men's Super Combined, Visually Impaired, Draw","남자 슈퍼복합, 시각 장애, 추첨",Draw,,N,0,NONE,N,N,Draw,추첨,
ALP,M,AC------03030-----,DRAW,000100--,"Men's Super Combined, Vis Imp, Draw","남자 슈퍼복합 활강, 시각 장애","Men's Super Combined, Visually Impaired, Draw","남자 슈퍼복합 활강, 시각 장애",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM360E01
ALP,M,AC------03030-----,FNL-,--------,"Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애","Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애",Phase,,N,0,NONE,N,N,,,
ALP,M,AC------03030-----,FNL-,0001DH--,"Men's SC Downhill, Vis Impaired","남자 슈퍼복합 활강, 시각 장애","Men's Super Combined Downhill, Visually Impaired","남자 슈퍼복합 활강, 시각 장애",Unit,,Y,0,ATH,Y,Y,Downhill,활강,ASM360A01
ALP,M,AC------03030-----,FNL-,0001SG--,"Men's SC Super-G, Vis Impaired","남자 슈퍼복합 슈퍼대회전, 시각 장애","Men's Super Combined Super-G, Visually Impaired","남자 슈퍼복합 슈퍼대회전, 시각 장애",Unit,,Y,0,ATH,Y,Y,Super-G,대회전,ASM360C01
ALP,M,AC------03030-----,FNL-,0001SL--,"Men's SC Slalom, Visually Impaired","남자 슈퍼복합 회전, 시각 장애","Men's Super Combined Slalom, Visually Impaired","남자 슈퍼복합 회전, 시각 장애",Unit,,Y,1,ATH,Y,Y,Slalom,회전,ASM360B01
ALP,M,AC------03030-----,TRNO,--------,"Men's SC Downhill Training, Vis Imp","남자 슈퍼복합 활강 연습, 시각 장애","Men's Super Combined Downhill Training, Visually Impaired","남자 슈퍼복합 활강 연습, 시각 장애",Training,,N,0,NONE,N,N,Downhill Training,활강 연습,ASM360O00
ALP,M,AC------03030-----,TRNO,000100--,"Men's SC Downhill 1st Trng, Vis Imp","남자 슈퍼복합 활강 1차 공식연습, 시각 장애","Men's Super Combined Downhill 1st Training Run, Visually Impaired","남자 슈퍼복합 활강 1차 공식연습, 시각 장애",Training,,Y,0,ATH,Y,Y,Downhill 1st Trng Run,활강 1차 연습,ASM360O01
ALP,M,AC------03030-----,TRNO,000200--,"Men's SC Downhill 2nd Trng, Vis Imp","남자 슈퍼복합 활강 2차 공식연습, 시각 장애","Men's Super Combined Downhill 2nd Training Run, Visually Impaired","남자 슈퍼복합 활강 2차 공식연습, 시각 장애",Training,,Y,0,ATH,Y,Y,Downhill 2nd Trng Run,활강 2차 연습,ASM360O02
ALP,M,AC------03030-----,TRNO,000300--,"Men's SC Downhill 3rd Trng, Vis Imp","남자 슈퍼복합 활강 3차 공식연습, 시각 장애","Men's Super Combined Downhill 3rd Training Run, Visually Impaired","남자 슈퍼복합 활강 3차 공식연습, 시각 장애",Training,,Y,0,ATH,Y,Y,Downhill 3rd Trng Run,활강 3차 연습,ASM360O03
ALP,M,AC------03030-----,VICT,FLOWER--,"Men's SC, Vis Impaired, Venue Ceremony","남자 슈퍼복합, 시각 장애, 시상식","Men's Super Combined, Visually Impaired, Venue Ceremony","남자 슈퍼복합, 시각 장애, 시상식",Medal,,Y,0,NONE,N,Y,Venue Ceremony,시상식,ASM360M02
ALP,M,AC------03030-----,VICT,MEDAL---,"Men's SC, Vis Impaired, Victory Ceremony","남자 슈퍼복합, 시각 장애, 메달 시상식","Men's Super Combined, Visually Impaired, Victory Ceremony","남자 슈퍼복합, 시각 장애, 메달 시상식",Medal,,Y,0,NONE,N,Y,Victory Ceremony,메달 시상식,ASM360M01
ALP,M,AC------09110-----,----,--------,"Men's Super Combined, Standing","남자 슈퍼복합, 입식","Men's Super Combined, Standing","남자 슈퍼복합, 입식",Event,,N,0,NONE,N,N,,,ASM160000
ALP,M,AC------09110-----,DRAW,--------,"Men's Super Combined, Standing, Draw","남자 슈퍼복합, 입식, 추첨","Men's Super Combined, Standing, Draw","남자 슈퍼복합, 입식, 추첨",Draw,,N,0,NONE,N,N,Draw,추첨,
ALP,M,AC------09110-----,DRAW,000100--,"Men's Super Combined, Standing, Draw","남자 슈퍼복합, 입식, 추첨","Men's Super Combined, Standing, Draw","남자 슈퍼복합, 입식, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM160E01
ALP,M,AC------09110-----,FNL-,--------,"Men's Super Combined, Standing","남자 슈퍼복합, 입식","Men's Super Combined, Standing","남자 슈퍼복합, 입식",Phase,,N,0,NONE,N,N,,,
ALP,M,AC------09110-----,FNL-,0001DH--,"Men's SC Downhill, Standing","남자 슈퍼복합 활강, 입식","Men's Super Combined Downhill, Standing","남자 슈퍼복합 활강, 입식",Unit,,Y,0,ATH,Y,Y,Downhill,활강,ASM160A01
ALP,M,AC------09110-----,FNL-,0001SG--,"Men's SC Super-G, Standing","남자 슈퍼복합 슈퍼대회전, 입식","Men's Super Combined Super-G, Standing","남자 슈퍼복합 슈퍼대회전, 입식",Unit,,Y,0,ATH,Y,Y,Super-G,대회전,ASM160C01
ALP,M,AC------09110-----,FNL-,0001SL--,"Men's SC Slalom, Standing","남자 슈퍼복합 회전, 입식","Men's Super Combined Slalom, Standing","남자 슈퍼복합 회전, 입식",Unit,,Y,1,ATH,Y,Y,Slalom,회전,ASM160B01
ALP,M,AC------09110-----,TRNO,--------,"Men's SC Downhill Training, Standing","남자 슈퍼복합 활강 연습, 입식","Men's Super Combined Downhill Training, Standing","남자 슈퍼복합 활강 연습, 입식",Training,,N,0,NONE,N,N,Downhill Training,활강 연습,ASM160O00
ALP,M,AC------09110-----,TRNO,000100--,"Men's SC Downhill 1st Trng, Standing","남자 슈퍼복합 활강 1차 공식연습, 입식","Men's Super Combined Downhill 1st Training Run, Standing","남자 슈퍼복합 활강 1차 공식연습, 입식",Training,,Y,0,ATH,Y,Y,Downhill 1st Trng Run,활강 1차 연습,ASM160O01
ALP,M,AC------09110-----,TRNO,000200--,"Men's SC Downhill 2nd Trng, Standing","남자 슈퍼복합 활강 2차 공식연습, 입식","Men's Super Combined Downhill 2nd Training Run, Standing","남자 슈퍼복합 활강 2차 공식연습, 입식",Training,,Y,0,ATH,Y,Y,Downhill 2nd Trng Run,활강 2차 연습,ASM160O02
ALP,M,AC------09110-----,TRNO,000300--,"Men's SC Downhill 3rd Trng, Standing","남자 슈퍼복합 활강 3차 공식연습, 입식","Men's Super Combined Downhill 3rd Training Run, Standing","남자 슈퍼복합 활강 3차 공식연습, 입식",Training,,Y,0,ATH,Y,Y,Downhill 3rd Trng Run,활강 3차 연습,ASM160O03
ALP,M,AC------09110-----,VICT,FLOWER--,"Men's SC, Standing, Venue Ceremony","남자 슈퍼복합, 입식, 시상식","Men's Super Combined, Standing, Venue Ceremony","남자 슈퍼복합, 입식, 시상식",Medal,,Y,0,NONE,N,Y,Venue Ceremony,시상식,ASM160M02
ALP,M,AC------09110-----,VICT,MEDAL---,"Men's SC, Standing, Victory Ceremony","남자 슈퍼복합, 입식, 메달 시상식","Men's Super Combined, Standing, Victory Ceremony","남자 슈퍼복합, 입식, 메달 시상식",Medal,,Y,0,NONE,N,Y,Victory Ceremony,메달 시상식,ASM160M01
ALP,M,AC------12050-----,----,--------,"Men's Super Combined, Sitting","남자 슈퍼복합, 좌식","Men's Super Combined, Sitting","남자 슈퍼복합, 좌식",Event,,N,0,NONE,N,N,,,ASM260000
ALP,M,AC------12050-----,DRAW,--------,"Men's Super Combined, Sitting, Draw","남자 슈퍼복합, 좌식, 추첨","Men's Super Combined, Sitting, Draw","남자 슈퍼복합, 좌식, 추첨",Draw,,N,0,NONE,N,N,Draw,추첨,
ALP,M,AC------12050-----,DRAW,000100--,"Men's Super Combined, Sitting, Draw","남자 슈퍼복합, 좌식, 추첨","Men's Super Combined, Sitting, Draw","남자 슈퍼복합, 좌식, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM260E01
ALP,M,AC------12050-----,FNL-,--------,"Men's Super Combined, Sitting","남자 슈퍼복합, 좌식","Men's Super Combined, Sitting","남자 슈퍼복합, 좌식",Phase,,N,0,NONE,N,N,,,
ALP,M,AC------12050-----,FNL-,0001DH--,"Men's SC Downhill, Sitting","남자 슈퍼복합 활강, 좌식","Men's Super Combined Downhill, Sitting","남자 슈퍼복합 활강, 좌식",Unit,,Y,0,ATH,Y,Y,Downhill,활강,ASM260A01
ALP,M,AC------12050-----,FNL-,0001SG--,"Men's SC Super-G, Sitting","남자 슈퍼복합 슈퍼대회전, 좌식","Men's Super Combined Super-G, Sitting","남자 슈퍼복합 슈퍼대회전, 좌식",Unit,,Y,0,ATH,Y,Y,Super-G,대회전,ASM260C01
ALP,M,AC------12050-----,FNL-,0001SL--,"Men's SC Slalom, Sitting","남자 슈퍼복합 회전, 좌식","Men's Super Combined Slalom, Sitting","남자 슈퍼복합 회전, 좌식",Unit,,Y,1,ATH,Y,Y,Slalom,회전,ASM260B01
ALP,M,AC------12050-----,TRNO,--------,"Men's SC Downhill Training, Sitting","남자 슈퍼복합 활강 연습, 좌식","Men's Super Combined Downhill Training, Sitting","남자 슈퍼복합 활강 연습, 좌식",Training,,N,0,NONE,N,N,Downhill Training,활강 연습,ASM260O00
ALP,M,AC------12050-----,TRNO,000100--,"Men's SC Downhill 1st Trng, Sitting","남자 슈퍼복합 활강 1차 공식연습, 좌식","Men's Super Combined Downhill 1st Training Run, Sitting","남자 슈퍼복합 활강 1차 공식연습, 좌식",Training,,Y,0,ATH,Y,Y,Downhill 1st Trng Run,활강 1차 연습,ASM260O01
ALP,M,AC------12050-----,TRNO,000200--,"Men's SC Downhill 2nd Trng, Sitting","남자 슈퍼복합 활강 2차 공식연습, 좌식","Men's Super Combined Downhill 2nd Training Run, Sitting","남자 슈퍼복합 활강 2차 공식연습, 좌식",Training,,Y,0,ATH,Y,Y,Downhill 2nd Trng Run,활강 2차 연습,ASM260O02
ALP,M,AC------12050-----,TRNO,000300--,"Men's SC Downhill 3rd Trng, Sitting","남자 슈퍼복합 활강 3차 공식연습, 좌식","Men's Super Combined Downhill 3rd Training Run, Sitting","남자 슈퍼복합 활강 3차 공식연습, 좌식",Training,,Y,0,ATH,Y,Y,Downhill 3rd Trng Run,활강 3차 연습,ASM260O03
ALP,M,AC------12050-----,VICT,FLOWER--,"Men's SC, Sitting, Venue Ceremony","남자 슈퍼복합, 좌식, 시상식","Men's Super Combined, Sitting, Venue Ceremony","남자 슈퍼복합, 좌식, 시상식",Medal,,Y,0,NONE,N,Y,Venue Ceremony,시상식,ASM260M02
ALP,M,AC------12050-----,VICT,MEDAL---,"Men's SC, Sitting, Victory Ceremony","남자 슈퍼복합, 좌식, 메달 시상식","Men's Super Combined, Sitting, Victory Ceremony","남자 슈퍼복합, 좌식, 메달 시상식",Medal,,Y,0,NONE,N,Y,Victory Ceremony,메달 시상식,ASM260M01
ALP,M,DH----------------,----,--------,Men's Downhill,남자 활강,Men's Downhill,남자 활강,Event,,N,0,NONE,N,N,,,ASM010000
ALP,M,DH----------------,TRNO,--------,"Men's Downhill, Training Run","남자 활강, 공식연습","Men's Downhill, Training Run","남자 활강, 공식연습",Training,,N,0,NONE,N,N,Training Run,공식연습,
ALP,M,DH----------------,TRNO,000100--,"Men's Downhill, 1st Training Run","남자 활강, 1차 공식연습","Men's Downhill, 1st Training Run","남자 활강, 1차 공식연습",Training,,N,0,NONE,N,N,1st Training Run,1차 공식연습,ASM010O01
ALP,M,DH----------------,TRNO,000200--,"Men's Downhill, 2nd Training Run","남자 활강, 2차 공식연습","Men's Downhill, 2nd Training Run","남자 활강, 2차 공식연습",Training,,N,0,NONE,N,N,2nd Training Run,2차 공식연습,ASM010O02
ALP,M,DH----------------,TRNO,000300--,"Men's Downhill, 3rd Training Run","남자 활강, 3차 공식연습","Men's Downhill, 3rd Training Run","남자 활강, 3차 공식연습",Training,,N,0,NONE,N,N,3rd Training Run,3차 공식연습,ASM010O03
ALP,M,DH------03030-----,----,--------,Men's Downhill - Visually Impaired,남자 활강 - 시각 장애,Men's Downhill - Visually Impaired,남자 활강 - 시각 장애,Event,,N,0,NONE,N,N,,,ASM310000
ALP,M,DH------03030-----,DRAW,--------,"Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨","Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨",Draw,,N,0,NONE,N,N,Draw,추첨,
ALP,M,DH------03030-----,DRAW,000100--,"Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨","Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM310E01
ALP,M,DH------03030-----,DRAW,000200--,"Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨","Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM310E02
ALP,M,DH------03030-----,DRAW,000300--,"Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨","Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM310E03
ALP,M,DH------03030-----,DRAW,000400--,"Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨","Men's Downhill, Vis Imp, Draw","남자 활강, 시각 장애, 추첨",Draw,,Y,0,NONE,N,Y,Draw,추첨,ASM310E04
ALP,M,DH------03030-----,FNL-,--------,Men's Downhill - Visually Impaired,남자 활강 - 시각 장애,Men's Downhill - Visually Impaired,남자 활강 - 시각 장애,Phase,,N,0,NONE,N,N,,,
ALP,M,DH------03030-----,FNL-,000100--,Men's Downhill - Visually Impaired,남자 활강 - 시각 장애,Men's Downhill - Visually Impaired,남자 활강 - 시각 장애,Unit,,Y,1,ATH,Y,Y,,,ASM310101
ALP,M,DH------03030-----,FNL-,000101--,Men's Downhill Run 1 - Visually Impaired,남자 활강 1회전 - 시각 장애,Men's Downhill Run 1 - Visually Impaired,남자 활강 1회전 - 시각 장애,Unit,,Y,0,ATH,Y,Y,Run 1,1회전,ASM310111
ALP,M,DH------03030-----,FNL-,000102--,Men's Downhill Run 2 - Visually Impaired,남자 활강 2회전 - 시각 장애,Men's Downhill Run 2 - Visually Impaired,남자 활강 2회전 - 시각 장애,Unit,,Y,1,ATH,Y,Y,Run 2,2회전,ASM310112
ALP,M,DH------03030-----,TRNO,--------,Men's Downhill Trng Run - Vis Imp,"남자 활강, 공식연습 - 시각 장애",Men's Downhill Training Run - Visually Impaired,"남자 활강, 공식연습 - 시각 장애",Training,,N,0,NONE,N,N,Training Run,공식연습,
ALP,M,DH------03030-----,TRNO,000100--,Men's Downhill 1st Trng Run - Vis Imp,남자 활강 1차 공식연습 - 시각 장애,Men's Downhill 1st Training Run - Visually Impaired,남자 활강 1차 공식연습 - 시각 장애,Training,,Y,0,ATH,Y,Y,1st Training Run,1차 공식연습,ASM310O01
ALP,M,DH------03030-----,TRNO,000200--,Men's Downhill 2nd Trng Run - Vis Imp,남자 활강 2차 공식연습 - 시각 장애,Men's Downhill 2nd Training Run - Visually Impaired,남자 활강 2차 공식연습 - 시각 장애,Training,,Y,0,ATH,Y,Y,2nd Training Run,2차 공식연습,ASM310O02
ALP,M,DH------03030-----,TRNO,000300--,Men's Downhill 3rd Trng Run - Vis Imp,남자 활강 3차 공식연습 - 시각 장애,Men's Downhill 3rd Training Run - Visually Impaired,남자 활강 3차 공식연습 - 시각 장애,Training,,Y,0,ATH,Y,Y,3rd Training Run,3차 공식연습,ASM310O03
