Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
CCS,W,------------------,----,8,,Women's Cross-Country Skiing,크로스컨트리 스키 여자경기,Women's Cross-Country Skiing,크로스컨트리 스키 여자경기,,,CCW0000
CCS,W,12KM----09070-----,----,8,,"Women's 12km, Sitting","여자 12km, 좌식","Women's 12km, Sitting","여자 12km, 좌식",,,CCW2150
CCS,W,12KM----09070-----,FNL-,3,1,"Women's 12km, Sitting","여자 12km, 좌식","Women's 12km, Sitting","여자 12km, 좌식",,,CCW2151
CCS,W,12KM----09070-----,VICT,6,V,"Women's 12km, Sitting, Victory Ceremony","여자 12km, 좌식, 메달 시상식","Women's 12km, Sitting, Victory Ceremony","여자 12km, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,CCW215M
CCS,W,15KM----03030-----,----,8,,"Women's 15km Free, Visually Imp","여자 15km 프리, 시각 장애","Women's 15km Free, Visually Impaired","여자 15km 프리, 시각 장애",,,CCW3150
CCS,W,15KM----03030-----,FNL-,3,1,"Women's 15km Free, Visually Imp","여자 15km 프리, 시각 장애","Women's 15km Free, Visually Impaired","여자 15km 프리, 시각 장애",,,CCW3151
CCS,W,15KM----03030-----,VICT,6,V,"Women's 15km Free, Vis Imp, Vict. Cer.","여자 15km 프리, 시각 장애, 메달 시상식","Women's 15km Free, Visually Impaired, Victory Ceremony","여자 15km 프리, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,CCW315M
CCS,W,15KM----12050-----,----,8,,"Women's 15km Free, Standing","여자 15km 프리, 입식","Women's 15km Free, Standing","여자 15km 프리, 입식",,,CCW1150
CCS,W,15KM----12050-----,FNL-,3,1,"Women's 15km Free, Standing","여자 15km 프리, 입식","Women's 15km Free, Standing","여자 15km 프리, 입식",,,CCW1151
CCS,W,15KM----12050-----,VICT,6,V,"Women's 15km Free, Standing, Vict. Cer.","여자 15km 프리, 입식, 메달 시상식","Women's 15km Free, Standing, Victory Ceremony","여자 15km 프리, 입식, 메달 시상식",Victory Ceremony,메달 시상식,CCW115M
CCS,W,5KM-----09070-----,----,8,,"Women's 5km, Sitting","여자 5km, 좌식","Women's 5km, Sitting","여자 5km, 좌식",,,
CCS,W,5KM-----09070-----,FNL-,3,1,"Women's 5km, Sitting","여자 5km, 좌식","Women's 5km, Sitting","여자 5km, 좌식",,,
CCS,W,5KM-----09070-----,VICT,6,V,"Women's 5km, Sitting, Victory Ceremony","여자 5km, 좌식, 메달 시상식","Women's 5km, Sitting, Victory Ceremony","여자 5km, 좌식, 메달 시상식",Victory Ceremony,메달 시상식,
CCS,W,7.5KM---03030-----,----,8,,"Women's 7.5km Classic, Visually Impaired","여자 7.5km 클래식, 시각 장애","Women's 7.5km Classic, Visually Impaired","여자 7.5km 클래식, 시각 장애",,,
CCS,W,7.5KM---03030-----,FNL-,3,1,"Women's 7.5km Classic, Visually Impaired","여자 7.5km 클래식, 시각 장애","Women's 7.5km Classic, Visually Impaired","여자 7.5km 클래식, 시각 장애",,,
CCS,W,7.5KM---03030-----,VICT,6,V,"Women's 7.5km Classic, Vis Imp, Vict Cer","여자 7.5km 클래식, 시각 장애, 메달 시상식","Women's 7.5km Classic, Visually Impaired, Victory Ceremony","여자 7.5km 클래식, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,
CCS,W,7.5KM---12050-----,----,8,,"Women's 7.5km Classic, Standing","여자 7.5km 클래식, 입식","Women's 7.5km Classic, Standing","여자 7.5km 클래식, 입식",,,
