Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
SBD,M,SBX-----01010-----,SFNL,3,2,"Men's Snowboard Cross SB-UL, Semifinals","남자 스노보드 크로스 SB-UL, 준결승","Men's Snowboard Cross SB-UL, Semifinals","남자 스노보드 크로스 SB-UL, 준결승",Semifinals,준결승,
SBD,M,SBX-----01010-----,QFNL,3,3,"Men's SBX SB-UL, Quarterfinals","남자 스노보드 크로스 SB-UL, 8강","Men's Snowboard Cross SB-UL, Quarterfinals","남자 스노보드 크로스 SB-UL, 8강",Quarterfinals,8강,
SBD,M,SBX-----01010-----,8FNL,3,4,"Men's SBX SB-UL, 1/8 Finals","남자 스노보드 크로스 SB-UL, 16강","Men's Snowboard Cross SB-UL, 1/8 Finals","남자 스노보드 크로스 SB-UL, 16강",1/8 Finals,16강,
SBD,M,SBX-----01010-----,QUAL,3,8,"Men's Snowboard Cross SB-UL, Qual","남자 스노보드 크로스 SB-UL, 예선","Men's Snowboard Cross SB-UL, Qualification","남자 스노보드 크로스 SB-UL, 예선",Qualification,예선,
SBD,M,SBX-----01010-----,VICT,6,V,"Men's Snowboard Cross SB-UL, Vict. Cer.","남자 스노보드 크로스 SB-UL, 메달 시상식","Men's Snowboard Cross SB-UL, Victory Ceremony","남자 스노보드 크로스 SB-UL, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,M,SBX-----10010-----,----,8,,Men's Snowboard Cross SB-LL1,남자 스노보드 크로스 SB-LL1 ,Men's Snowboard Cross SB-LL1,남자 스노보드 크로스 SB-LL1 ,,,
SBD,M,SBX-----10010-----,DRAW,7,D,"Men's Snowboard Cross SB-LL1, Draw","남자 스노보드 크로스 SB-LL1, 추첨","Men's Snowboard Cross SB-LL1, Draw","남자 스노보드 크로스 SB-LL1, 추첨",Draw,추첨,
SBD,M,SBX-----10010-----,FNL-,3,1,"Men's Snowboard Cross SB-LL1, Final","남자 스노보드 크로스 SB-LL1, 결승","Men's Snowboard Cross SB-LL1, Final","남자 스노보드 크로스 SB-LL1, 결승",Final,결승,
SBD,M,SBX-----10010-----,SFNL,3,2,"Men's Snowboard Cross SB-LL1, Semifinals","남자 스노보드 크로스 SB-LL1, 준결승","Men's Snowboard Cross SB-LL1, Semifinals","남자 스노보드 크로스 SB-LL1, 준결승",Semifinals,준결승,
SBD,M,SBX-----10010-----,QFNL,3,3,"Men's SBX SB-LL1, Quarterfinals","남자 스노보드 크로스 SB-LL1, 8강","Men's Snowboard Cross SB-LL1, Quarterfinals","남자 스노보드 크로스 SB-LL1, 8강",Quarterfinals,8강,
SBD,M,SBX-----10010-----,8FNL,3,4,"Men's SBX SB-LL1, 1/8 Finals","남자 스노보드 크로스 SB-LL1, 16강","Men's Snowboard Cross SB-LL1, 1/8 Finals","남자 스노보드 크로스 SB-LL1, 16강",1/8 Finals,16강,
SBD,M,SBX-----10010-----,QUAL,3,8,"Men's Snowboard Cross SB-LL1, Qual","남자 스노보드 크로스 SB-LL1, 예선","Men's Snowboard Cross SB-LL1, Qualification","남자 스노보드 크로스 SB-LL1, 예선",Qualification,예선,
SBD,M,SBX-----10010-----,VICT,6,V,"Men's Snowboard Cross SB-LL1, Vict. Cer.","남자 스노보드 크로스 SB-LL1, 메달 시상식","Men's Snowboard Cross SB-LL1, Victory Ceremony","남자 스노보드 크로스 SB-LL1, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,M,SBX-----20010-----,----,8,,Men's Snowboard Cross SB-LL2,남자 스노보드 크로스 SB-LL2 ,Men's Snowboard Cross SB-LL2,남자 스노보드 크로스 SB-LL2 ,,,
SBD,M,SBX-----20010-----,DRAW,7,D,"Men's Snowboard Cross SB-LL2, Draw","남자 스노보드 크로스 SB-LL2, 추첨","Men's Snowboard Cross SB-LL2, Draw","남자 스노보드 크로스 SB-LL2, 추첨",Draw,추첨,
SBD,M,SBX-----20010-----,FNL-,3,1,"Men's Snowboard Cross SB-LL2, Final","남자 스노보드 크로스 SB-LL2, 결승","Men's Snowboard Cross SB-LL2, Final","남자 스노보드 크로스 SB-LL2, 결승",Final,결승,
SBD,M,SBX-----20010-----,SFNL,3,2,"Men's Snowboard Cross SB-LL2, Semifinals","남자 스노보드 크로스 SB-LL2, 준결승","Men's Snowboard Cross SB-LL2, Semifinals","남자 스노보드 크로스 SB-LL2, 준결승",Semifinals,준결승,
SBD,M,SBX-----20010-----,QFNL,3,3,"Men's SBX SB-LL2, Quarterfinals","남자 스노보드 크로스 SB-LL2, 8강","Men's Snowboard Cross SB-LL2, Quarterfinals","남자 스노보드 크로스 SB-LL2, 8강",Quarterfinals,8강,
SBD,M,SBX-----20010-----,8FNL,3,4,"Men's SBX SB-LL2, 1/8 Finals","남자 스노보드 크로스 SB-LL2, 16강","Men's Snowboard Cross SB-LL2, 1/8 Finals","남자 스노보드 크로스 SB-LL2, 16강",1/8 Finals,16강,
SBD,M,SBX-----20010-----,QUAL,3,8,"Men's Snowboard Cross SB-LL2, Qual","남자 스노보드 크로스 SB-LL2, 예선","Men's Snowboard Cross SB-LL2, Qualification","남자 스노보드 크로스 SB-LL2, 예선",Qualification,예선,
SBD,M,SBX-----20010-----,VICT,6,V,"Men's Snowboard Cross SB-LL2, Vict. Cer.","남자 스노보드 크로스 SB-LL2, 메달 시상식","Men's Snowboard Cross SB-LL2, Victory Ceremony","남자 스노보드 크로스 SB-LL2, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,W,------------------,----,8,,Women's Snowboard,여자 스노보드,Women's Snowboard,여자 스노보드,,,
SBD,W,BSL---------------,----,8,,Women's Banked Slalom,여자 뱅크드 슬라롬 ,Women's Banked Slalom,여자 뱅크드 슬라롬 ,,,
SBD,W,BSL---------------,TRNO,1,T,"Women's Banked Slalom, Training","여자 뱅크드 슬라롬, 공식연습","Women's Banked Slalom, Training","여자 뱅크드 슬라롬, 공식연습",Training,공식연습,
SBD,W,BSL-----01010-----,----,8,,Women's Banked Slalom SB-UL,여자 뱅크드 슬라롬 SB-UL ,Women's Banked Slalom SB-UL,여자 뱅크드 슬라롬 SB-UL ,,,
SBD,W,BSL-----01010-----,DRAW,7,D,"Women's Banked Slalom SB-UL, Draw","여자 뱅크드 슬라롬 SB-UL, 추첨","Women's Banked Slalom SB-UL, Draw","여자 뱅크드 슬라롬 SB-UL, 추첨",Draw,추첨,
SBD,W,BSL-----01010-----,FNL-,3,1,Women's Banked Slalom SB-UL,여자 뱅크드 슬라롬 SB-UL ,Women's Banked Slalom SB-UL,여자 뱅크드 슬라롬 SB-UL ,,,
SBD,W,BSL-----01010-----,VICT,6,V,"Women's Banked Slalom SB-UL, Vict. Cer.","여자 뱅크드 슬라롬 SB-UL, 메달 시상식","Women's Banked Slalom SB-UL, Victory Ceremony","여자 뱅크드 슬라롬 SB-UL, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,W,BSL-----10010-----,----,8,,Women's Banked Slalom SB-LL1,여자 뱅크드 슬라롬 SB-LL1 ,Women's Banked Slalom SB-LL1,여자 뱅크드 슬라롬 SB-LL1 ,,,
SBD,W,BSL-----10010-----,DRAW,7,D,"Women's Banked Slalom SB-LL1, Draw","여자 뱅크드 슬라롬 SB-LL1, 추첨","Women's Banked Slalom SB-LL1, Draw","여자 뱅크드 슬라롬 SB-LL1, 추첨",Draw,추첨,
SBD,W,BSL-----10010-----,FNL-,3,1,Women's Banked Slalom SB-LL1,여자 뱅크드 슬라롬 SB-LL1 ,Women's Banked Slalom SB-LL1,여자 뱅크드 슬라롬 SB-LL1 ,,,
SBD,W,BSL-----10010-----,VICT,6,V,"Women's Banked Slalom SB-LL1, Vict. Cer.","여자 뱅크드 슬라롬 SB-LL1, 메달 시상식","Women's Banked Slalom SB-LL1, Victory Ceremony","여자 뱅크드 슬라롬 SB-LL1, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,W,BSL-----20010-----,----,8,,Women's Banked Slalom SB-LL2,여자 뱅크드 슬라롬 SB-LL2 ,Women's Banked Slalom SB-LL2,여자 뱅크드 슬라롬 SB-LL2 ,,,
SBD,W,BSL-----20010-----,DRAW,7,D,"Women's Banked Slalom SB-LL2, Draw","여자 뱅크드 슬라롬 SB-LL2, 추첨","Women's Banked Slalom SB-LL2, Draw","여자 뱅크드 슬라롬 SB-LL2, 추첨",Draw,추첨,
SBD,W,BSL-----20010-----,FNL-,3,1,Women's Banked Slalom SB-LL2,여자 뱅크드 슬라롬 SB-LL2 ,Women's Banked Slalom SB-LL2,여자 뱅크드 슬라롬 SB-LL2 ,,,
SBD,W,BSL-----20010-----,VICT,6,V,"Women's Banked Slalom SB-LL2, Vict. Cer.","여자 뱅크드 슬라롬 SB-LL2, 메달 시상식","Women's Banked Slalom SB-LL2, Victory Ceremony","여자 뱅크드 슬라롬 SB-LL2, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,W,SBX---------------,----,8,,Women's Snowboard Cross,여자 스노보드 크로스,Women's Snowboard Cross,여자 스노보드 크로스,,,ASW0900
SBD,W,SBX---------------,TRNO,1,T,Women's Snowboard Cross Training,여자 스노보드 크로스 공식연습,Women's Snowboard Cross Training,여자 스노보드 크로스 공식연습,Training,공식연습,ASM190O
SBD,W,SBX-----01010-----,----,8,,Women's Snowboard Cross SB-UL,여자 스노보드 크로스 SB-UL,Women's Snowboard Cross SB-UL,여자 스노보드 크로스 SB-UL,,,
SBD,W,SBX-----01010-----,DRAW,7,D,"Women's Snowboard Cross SB-UL, Draw","여자 스노보드 크로스 SB-UL, 추첨","Women's Snowboard Cross SB-UL, Draw","여자 스노보드 크로스 SB-UL, 추첨",Draw,추첨,
SBD,W,SBX-----01010-----,FNL-,3,1,"Women's Snowboard Cross SB-UL, Final","여자 스노보드 크로스 SB-UL, 결승","Women's Snowboard Cross SB-UL, Final","여자 스노보드 크로스 SB-UL, 결승",Final,결승,
SBD,W,SBX-----01010-----,SFNL,3,2,"Women's SBX SB-UL, Semifinals","여자 스노보드 크로스 SB-UL, 준결승","Women's Snowboard Cross SB-UL, Semifinals","여자 스노보드 크로스 SB-UL, 준결승",Semifinals,준결승,
SBD,W,SBX-----01010-----,QFNL,3,3,"Women's SBX SB-UL, Quarterfinals","여자 스노보드 크로스 SB-UL, 8강","Women's Snowboard Cross SB-UL, Quarterfinals","여자 스노보드 크로스 SB-UL, 8강",Quarterfinals,8강,
SBD,W,SBX-----01010-----,QUAL,3,8,"Women's Snowboard Cross SB-UL, Qual","여자 스노보드 크로스 SB-UL, 예선","Women's Snowboard Cross SB-UL, Qualification","여자 스노보드 크로스 SB-UL, 예선",Qualification,예선,
SBD,W,SBX-----01010-----,VICT,6,V,"Women's Snowboard Cross SB-UL, Vict Cer","여자 스노보드 크로스 SB-UL, 메달 시상식","Women's Snowboard Cross SB-UL, Victory Ceremony","여자 스노보드 크로스 SB-UL, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,W,SBX-----10010-----,----,8,,Women's Snowboard Cross SB-LL1,여자 스노보드 크로스 SB-LL1,Women's Snowboard Cross SB-LL1,여자 스노보드 크로스 SB-LL1,,,
SBD,W,SBX-----10010-----,DRAW,7,D,"Women's Snowboard Cross SB-LL1, Draw","여자 스노보드 크로스 SB-LL1, 추첨","Women's Snowboard Cross SB-LL1, Draw","여자 스노보드 크로스 SB-LL1, 추첨",Draw,추첨,
SBD,W,SBX-----10010-----,FNL-,3,1,"Women's Snowboard Cross SB-LL1, Final","여자 스노보드 크로스 SB-LL1, 결승","Women's Snowboard Cross SB-LL1, Final","여자 스노보드 크로스 SB-LL1, 결승",Final,결승,
SBD,W,SBX-----10010-----,SFNL,3,2,"Women's SBX SB-LL1, Semifinals","여자 스노보드 크로스 SB-LL1, 준결승","Women's Snowboard Cross SB-LL1, Semifinals","여자 스노보드 크로스 SB-LL1, 준결승",Semifinals,준결승,
SBD,W,SBX-----10010-----,QFNL,3,3,"Women's SBX SB-LL1, Quarterfinals","여자 스노보드 크로스 SB-LL1, 8강","Women's Snowboard Cross SB-LL1, Quarterfinals","여자 스노보드 크로스 SB-LL1, 8강",Quarterfinals,8강,
SBD,W,SBX-----10010-----,QUAL,3,8,"Women's Snowboard Cross SB-LL1, Qual","여자 스노보드 크로스 SB-LL1, 예선","Women's Snowboard Cross SB-LL1, Qualification","여자 스노보드 크로스 SB-LL1, 예선",Qualification,예선,
SBD,W,SBX-----10010-----,VICT,6,V,"Women's Snowboard Cross SB-LL1, Vict Cer","여자 스노보드 크로스 SB-LL1, 메달 시상식","Women's Snowboard Cross SB-LL1, Victory Ceremony","여자 스노보드 크로스 SB-LL1, 메달 시상식",Victory Ceremony,메달 시상식,
SBD,W,SBX-----20010-----,----,8,,Women's Snowboard Cross SB-LL2,여자 스노보드 크로스 SB-LL2,Women's Snowboard Cross SB-LL2,여자 스노보드 크로스 SB-LL2,,,
SBD,W,SBX-----20010-----,DRAW,7,D,"Women's Snowboard Cross SB-LL2, Draw","여자 스노보드 크로스 SB-LL2, 추첨","Women's Snowboard Cross SB-LL2, Draw","여자 스노보드 크로스 SB-LL2, 추첨",Draw,추첨,
SBD,W,SBX-----20010-----,FNL-,3,1,"Women's Snowboard Cross SB-LL2, Final","여자 스노보드 크로스 SB-LL2, 결승","Women's Snowboard Cross SB-LL2, Final","여자 스노보드 크로스 SB-LL2, 결승",Final,결승,
SBD,W,SBX-----20010-----,SFNL,3,2,"Women's SBX SB-LL2, Semifinals","여자 스노보드 크로스 SB-LL2, 준결승","Women's Snowboard Cross SB-LL2, Semifinals","여자 스노보드 크로스 SB-LL2, 준결승",Semifinals,준결승,
SBD,W,SBX-----20010-----,QFNL,3,3,"Women's SBX SB-LL2, Quarterfinals","여자 스노보드 크로스 SB-LL2, 8강","Women's Snowboard Cross SB-LL2, Quarterfinals","여자 스노보드 크로스 SB-LL2, 8강",Quarterfinals,8강,
SBD,W,SBX-----20010-----,QUAL,3,8,"Women's Snowboard Cross SB-LL2, Qual","여자 스노보드 크로스 SB-LL2, 예선","Women's Snowboard Cross SB-LL2, Qualification","여자 스노보드 크로스 SB-LL2, 예선",Qualification,예선,
SBD,W,SBX-----20010-----,VICT,6,V,"Women's Snowboard Cross SB-LL2, Vict Cer","여자 스노보드 크로스 SB-LL2, 메달 시상식","Women's Snowboard Cross SB-LL2, Victory Ceremony","여자 스노보드 크로스 SB-LL2, 메달 시상식",Victory Ceremony,메달 시상식,
TRU,-,ALP---------------,----,2,,Alpine Skiing Training,알파인 스키 공식연습,Alpine Skiing Training,알파인 스키 공식연습,,,UT0AST0
TRU,-,BTH---------------,----,2,,Biathlon Training,바이애슬론 공식연습,Biathlon Training,바이애슬론 공식연습,,,UT0BTT0
TRU,-,CCS---------------,----,2,,Cross-Country Skiing Training,크로스컨트리 스키 공식연습,Cross-Country Skiing Training,크로스컨트리 스키 공식연습,,,UT0CCT0
TRU,-,CUR---------------,----,2,,Wheelchair Curling Training,휠체어컬링 공식연습,Wheelchair Curling Training,휠체어컬링 공식연습,,,UT0CUT0
TRU,-,ISH---------------,----,2,,Ice Hockey Training,아이스하키 공식연습,Ice Hockey Training,아이스하키 공식연습,,,UT0IHT0
TRU,-,SBD---------------,----,2,,Snowboard Training,스노보드공식연습,Snowboard Training,스노보드공식연습,,,
