Id,ENG Description,KOR Description
bad,Bad,나쁨 
bet,Better,나음 
cmp,Compact,다져진 눈
fas,Fast,빠름
f-g,Fine grained,분설
gri,Grip,붙잡음
grn,Granular,설탕눈
hea,Heavy,강함
hrd,Hard,강설
hrd-p,Hard packed,굳은 눈
hrd-p-v,Hard packed variable,일부 굵은 눈
icy,Icy,아이스
nor,Normal,보통 
p,Packed,다져진 눈
ppwd,Packed powder,다져진 건설
pwd,Powder,건설
sft,Soft,부드러운 눈
slo,Slow,느림
sp-c,Spring conditions,봄 상태의 눈
str,Straight,수직
swi,Swingy,소용돌이
wt,Wet,습설
wt-pwd,Wet & powder,습설 및 건설
