Id,ENG Description,KOR Description,ENG longdescription,KOR longdescription
ALP,Alpine Skiing,알파인 스키,Alpine Skiing,알파인 스키
BTH,Biathlon,바이애슬론,Biathlon,바이애슬론
CCS,Cross-Country Skiing,크로스컨트리 스키,Cross-Country Skiing,크로스컨트리 스키
CUR,Wheelchair Curling,휠체어컬링,Wheelchair Curling,휠체어컬링
GEN,General,일반,General,일반
ISH,Ice Hockey,아이스하키,Ice Hockey,아이스하키
SBD,Snowboard,스노보드,Snowboard,스노보드
